@relation liking 

@attribute Theta1_1 numeric
@attribute Alpha1_1 numeric
@attribute LowBeta1_1 numeric
@attribute HighBeta1_1 numeric
@attribute Gamma1_1 numeric
@attribute Theta2_1 numeric
@attribute Alpha2_1 numeric
@attribute LowBeta2_1 numeric
@attribute HighBeta2_1 numeric
@attribute Gamma2_1 numeric
@attribute Theta3_1 numeric
@attribute Alpha3_1 numeric
@attribute LowBeta3_1 numeric
@attribute HighBeta3_1 numeric
@attribute Gamma3_1 numeric
@attribute Theta4_1 numeric
@attribute Alpha4_1 numeric
@attribute LowBeta4_1 numeric
@attribute HighBeta4_1 numeric
@attribute Gamma4_1 numeric
@attribute Theta5_1 numeric
@attribute Alpha5_1 numeric
@attribute LowBeta5_1 numeric
@attribute HighBeta5_1 numeric
@attribute Gamma5_1 numeric
@attribute Theta6_1 numeric
@attribute Alpha6_1 numeric
@attribute LowBeta6_1 numeric
@attribute HighBeta6_1 numeric
@attribute Gamma6_1 numeric
@attribute Theta7_1 numeric
@attribute Alpha7_1 numeric
@attribute LowBeta7_1 numeric
@attribute HighBeta7_1 numeric
@attribute Gamma7_1 numeric
@attribute Theta8_1 numeric
@attribute Alpha8_1 numeric
@attribute LowBeta8_1 numeric
@attribute HighBeta8_1 numeric
@attribute Gamma8_1 numeric
@attribute Theta9_1 numeric
@attribute Alpha9_1 numeric
@attribute LowBeta9_1 numeric
@attribute HighBeta9_1 numeric
@attribute Gamma9_1 numeric
@attribute Theta10_1 numeric
@attribute Alpha10_1 numeric
@attribute LowBeta10_1 numeric
@attribute HighBeta10_1 numeric
@attribute Gamma10_1 numeric
@attribute Theta11_1 numeric
@attribute Alpha11_1 numeric
@attribute LowBeta11_1 numeric
@attribute HighBeta11_1 numeric
@attribute Gamma11_1 numeric
@attribute Theta12_1 numeric
@attribute Alpha12_1 numeric
@attribute LowBeta12_1 numeric
@attribute HighBeta12_1 numeric
@attribute Gamma12_1 numeric
@attribute Theta13_1 numeric
@attribute Alpha13_1 numeric
@attribute LowBeta13_1 numeric
@attribute HighBeta13_1 numeric
@attribute Gamma13_1 numeric
@attribute Theta14_1 numeric
@attribute Alpha14_1 numeric
@attribute LowBeta14_1 numeric
@attribute HighBeta14_1 numeric
@attribute Gamma14_1 numeric
@attribute Theta15_1 numeric
@attribute Alpha15_1 numeric
@attribute LowBeta15_1 numeric
@attribute HighBeta15_1 numeric
@attribute Gamma15_1 numeric
@attribute Theta16_1 numeric
@attribute Alpha16_1 numeric
@attribute LowBeta16_1 numeric
@attribute HighBeta16_1 numeric
@attribute Gamma16_1 numeric
@attribute Theta17_1 numeric
@attribute Alpha17_1 numeric
@attribute LowBeta17_1 numeric
@attribute HighBeta17_1 numeric
@attribute Gamma17_1 numeric
@attribute Theta18_1 numeric
@attribute Alpha18_1 numeric
@attribute LowBeta18_1 numeric
@attribute HighBeta18_1 numeric
@attribute Gamma18_1 numeric
@attribute Theta19_1 numeric
@attribute Alpha19_1 numeric
@attribute LowBeta19_1 numeric
@attribute HighBeta19_1 numeric
@attribute Gamma19_1 numeric
@attribute Theta20_1 numeric
@attribute Alpha20_1 numeric
@attribute LowBeta20_1 numeric
@attribute HighBeta20_1 numeric
@attribute Gamma20_1 numeric
@attribute Theta21_1 numeric
@attribute Alpha21_1 numeric
@attribute LowBeta21_1 numeric
@attribute HighBeta21_1 numeric
@attribute Gamma21_1 numeric
@attribute Theta22_1 numeric
@attribute Alpha22_1 numeric
@attribute LowBeta22_1 numeric
@attribute HighBeta22_1 numeric
@attribute Gamma22_1 numeric
@attribute Theta23_1 numeric
@attribute Alpha23_1 numeric
@attribute LowBeta23_1 numeric
@attribute HighBeta23_1 numeric
@attribute Gamma23_1 numeric
@attribute Theta24_1 numeric
@attribute Alpha24_1 numeric
@attribute LowBeta24_1 numeric
@attribute HighBeta24_1 numeric
@attribute Gamma24_1 numeric
@attribute Theta25_1 numeric
@attribute Alpha25_1 numeric
@attribute LowBeta25_1 numeric
@attribute HighBeta25_1 numeric
@attribute Gamma25_1 numeric
@attribute Theta26_1 numeric
@attribute Alpha26_1 numeric
@attribute LowBeta26_1 numeric
@attribute HighBeta26_1 numeric
@attribute Gamma26_1 numeric
@attribute Theta27_1 numeric
@attribute Alpha27_1 numeric
@attribute LowBeta27_1 numeric
@attribute HighBeta27_1 numeric
@attribute Gamma27_1 numeric
@attribute Theta28_1 numeric
@attribute Alpha28_1 numeric
@attribute LowBeta28_1 numeric
@attribute HighBeta28_1 numeric
@attribute Gamma28_1 numeric
@attribute Theta29_1 numeric
@attribute Alpha29_1 numeric
@attribute LowBeta29_1 numeric
@attribute HighBeta29_1 numeric
@attribute Gamma29_1 numeric
@attribute Theta30_1 numeric
@attribute Alpha30_1 numeric
@attribute LowBeta30_1 numeric
@attribute HighBeta30_1 numeric
@attribute Gamma30_1 numeric
@attribute Theta31_1 numeric
@attribute Alpha31_1 numeric
@attribute LowBeta31_1 numeric
@attribute HighBeta31_1 numeric
@attribute Gamma31_1 numeric
@attribute Theta32_1 numeric
@attribute Alpha32_1 numeric
@attribute LowBeta32_1 numeric
@attribute HighBeta32_1 numeric
@attribute Gamma32_1 numeric
@attribute class {-1,1}

@data
6.3425,0,0,0,0,4.8107,0,0,0,0,4.9115,0,0,0,0,5.5945,0,0,0,0,3.1546,0,0,0,0,6.3627,0,0,0,0,4.313,0,0,0,0,4.1951,0,0,0,0,2.8849,0,0,0,0,20.193,0,0,0,0,20.681,0,0,0,0,3.3235,0,0,0,0,25.635,0,0,0,0,17.173,0,0,0,0,3.0949,0,0,0,0,3.4478,0,0,0,0,13.068,0,0,0,0,7.3961,0,0,0,0,25.916,0,0,0,0,4.2749,0,0,0,0,10.082,0,0,0,0,4.6016,0,0,0,0,13.008,0,0,0,0,6.1616,0,0,0,0,3.0996,0,0,0,0,5.0909,0,0,0,0,49.411,0,0,0,0,32.679,0,0,0,0,3.8887,0,0,0,0,5.684,0,0,0,0,3.3619,0,0,0,0,1.8758,0,0,0,0,1
22.097,0,0,0,0,6.0355,0,0,0,0,11.674,0,0,0,0,8.1646,0,0,0,0,3.1919,0,0,0,0,11.718,0,0,0,0,20.691,0,0,0,0,16.253,0,0,0,0,12.565,0,0,0,0,38.606,0,0,0,0,45.529,0,0,0,0,8.0662,0,0,0,0,63.034,0,0,0,0,36.505,0,0,0,0,11.434,0,0,0,0,12.654,0,0,0,0,60.165,0,0,0,0,21.793,0,0,0,0,76.808,0,0,0,0,5.8071,0,0,0,0,48.623,0,0,0,0,7.4981,0,0,0,0,24.472,0,0,0,0,25.287,0,0,0,0,11.148,0,0,0,0,11.005,0,0,0,0,111.42,0,0,0,0,65.751,0,0,0,0,25.129,0,0,0,0,15.544,0,0,0,0,18.25,0,0,0,0,5.3948,0,0,0,0,1
8.4509,0,0,0,0,4.2301,0,0,0,0,5.4661,0,0,0,0,5.1807,0,0,0,0,3.3115,0,0,0,0,3.1768,0,0,0,0,6.1383,0,0,0,0,4.5382,0,0,0,0,3.3923,0,0,0,0,9.293,0,0,0,0,11.552,0,0,0,0,3.2496,0,0,0,0,13.567,0,0,0,0,7.9993,0,0,0,0,3.5269,0,0,0,0,5.5618,0,0,0,0,16.078,0,0,0,0,8.5703,0,0,0,0,17.087,0,0,0,0,5.8723,0,0,0,0,15.103,0,0,0,0,4.2774,0,0,0,0,5.2833,0,0,0,0,7.728,0,0,0,0,4.7561,0,0,0,0,6.4496,0,0,0,0,17.786,0,0,0,0,12.777,0,0,0,0,6.9524,0,0,0,0,5.315,0,0,0,0,5.1984,0,0,0,0,3.0288,0,0,0,0,1
18.706,0,0,0,0,2.4433,0,0,0,0,6.9737,0,0,0,0,5.1452,0,0,0,0,2.4522,0,0,0,0,3.3899,0,0,0,0,19.185,0,0,0,0,11.171,0,0,0,0,11.613,0,0,0,0,5.4381,0,0,0,0,11.706,0,0,0,0,5.3016,0,0,0,0,14.959,0,0,0,0,6.1009,0,0,0,0,9.5313,0,0,0,0,12.348,0,0,0,0,43.775,0,0,0,0,13.199,0,0,0,0,30.87,0,0,0,0,4.7211,0,0,0,0,42.463,0,0,0,0,3.474,0,0,0,0,3.1236,0,0,0,0,19.166,0,0,0,0,10.208,0,0,0,0,8.5071,0,0,0,0,31.489,0,0,0,0,10.1,0,0,0,0,23.506,0,0,0,0,7.8463,0,0,0,0,17.912,0,0,0,0,4.7024,0,0,0,0,1
10.348,0,0,0,0,2.3417,0,0,0,0,4.2643,0,0,0,0,3.9396,0,0,0,0,1.9031,0,0,0,0,2.1959,0,0,0,0,8.5476,0,0,0,0,5.2151,0,0,0,0,4.6917,0,0,0,0,5.5906,0,0,0,0,9.9872,0,0,0,0,3.6984,0,0,0,0,11.278,0,0,0,0,5.5417,0,0,0,0,4.8571,0,0,0,0,6.9219,0,0,0,0,20.598,0,0,0,0,7.8043,0,0,0,0,16.487,0,0,0,0,2.7422,0,0,0,0,20.093,0,0,0,0,2.4266,0,0,0,0,2.6311,0,0,0,0,9.6989,0,0,0,0,4.5155,0,0,0,0,5.1494,0,0,0,0,14.589,0,0,0,0,7.3495,0,0,0,0,10.043,0,0,0,0,4.7978,0,0,0,0,8.6873,0,0,0,0,3.1274,0,0,0,0,1
6.7064,0,0,0,0,3.0923,0,0,0,0,3.9797,0,0,0,0,4.0365,0,0,0,0,1.6944,0,0,0,0,3.5769,0,0,0,0,3.8221,0,0,0,0,3.1834,0,0,0,0,2.3665,0,0,0,0,10.181,0,0,0,0,14.379,0,0,0,0,4.17,0,0,0,0,15.43,0,0,0,0,10.301,0,0,0,0,3.2611,0,0,0,0,4.0594,0,0,0,0,14.05,0,0,0,0,8.1064,0,0,0,0,15.501,0,0,0,0,2.7979,0,0,0,0,13.005,0,0,0,0,3.3629,0,0,0,0,6.0629,0,0,0,0,6.4489,0,0,0,0,2.5671,0,0,0,0,5.5888,0,0,0,0,24.486,0,0,0,0,15.755,0,0,0,0,4.8956,0,0,0,0,4.5341,0,0,0,0,4.3374,0,0,0,0,2.3903,0,0,0,0,1
8.8627,0,0,0,0,2.9519,0,0,0,0,5.9926,0,0,0,0,4.8973,0,0,0,0,3.4629,0,0,0,0,2.8219,0,0,0,0,8.7251,0,0,0,0,5.3481,0,0,0,0,5.4222,0,0,0,0,5.074,0,0,0,0,10.322,0,0,0,0,5.0165,0,0,0,0,12.098,0,0,0,0,6.1793,0,0,0,0,4.5816,0,0,0,0,5.777,0,0,0,0,21.656,0,0,0,0,9.714,0,0,0,0,17.94,0,0,0,0,6.79,0,0,0,0,22.909,0,0,0,0,4.4253,0,0,0,0,3.4474,0,0,0,0,9.1878,0,0,0,0,5.7528,0,0,0,0,6.6349,0,0,0,0,15.948,0,0,0,0,8.3685,0,0,0,0,8.8517,0,0,0,0,4.9955,0,0,0,0,8.1347,0,0,0,0,2.811,0,0,0,0,1
8.8304,0,0,0,0,2.5651,0,0,0,0,4.6986,0,0,0,0,4.1209,0,0,0,0,1.9378,0,0,0,0,3.74,0,0,0,0,7.228,0,0,0,0,5.807,0,0,0,0,5.0332,0,0,0,0,9.6716,0,0,0,0,13.734,0,0,0,0,4.2937,0,0,0,0,16.559,0,0,0,0,9.9442,0,0,0,0,5.6095,0,0,0,0,5.9882,0,0,0,0,20.562,0,0,0,0,8.8282,0,0,0,0,20.604,0,0,0,0,3.1215,0,0,0,0,19.409,0,0,0,0,3.1902,0,0,0,0,6.2231,0,0,0,0,9.2779,0,0,0,0,4.8584,0,0,0,0,5.2298,0,0,0,0,28.666,0,0,0,0,16.196,0,0,0,0,9.1555,0,0,0,0,5.3726,0,0,0,0,8.2448,0,0,0,0,3.2476,0,0,0,0,1
8.7884,0,0,0,0,3.3559,0,0,0,0,4.8719,0,0,0,0,4.6263,0,0,0,0,2.6496,0,0,0,0,3.4234,0,0,0,0,6.8817,0,0,0,0,4.8624,0,0,0,0,4.5032,0,0,0,0,8.8415,0,0,0,0,10.903,0,0,0,0,3.8811,0,0,0,0,13.475,0,0,0,0,7.6993,0,0,0,0,4.8268,0,0,0,0,5.9336,0,0,0,0,19.228,0,0,0,0,8.7087,0,0,0,0,16.686,0,0,0,0,3.6019,0,0,0,0,18.222,0,0,0,0,3.2033,0,0,0,0,4.7489,0,0,0,0,9.02,0,0,0,0,4.3367,0,0,0,0,5.4118,0,0,0,0,20.192,0,0,0,0,12.002,0,0,0,0,8.2208,0,0,0,0,5.1368,0,0,0,0,7.1796,0,0,0,0,2.6424,0,0,0,0,1
18.396,0,0,0,0,5.6094,0,0,0,0,7.7385,0,0,0,0,7.1078,0,0,0,0,2.6988,0,0,0,0,4.5227,0,0,0,0,14.907,0,0,0,0,9.2235,0,0,0,0,9.2153,0,0,0,0,14.851,0,0,0,0,21.111,0,0,0,0,5.8868,0,0,0,0,23.534,0,0,0,0,10.613,0,0,0,0,7.8204,0,0,0,0,11.736,0,0,0,0,41.239,0,0,0,0,15.941,0,0,0,0,35.166,0,0,0,0,5.1557,0,0,0,0,36.68,0,0,0,0,3.4775,0,0,0,0,7.3084,0,0,0,0,22.593,0,0,0,0,9.2525,0,0,0,0,8.0021,0,0,0,0,30.247,0,0,0,0,19.029,0,0,0,0,17.774,0,0,0,0,8.6743,0,0,0,0,13.162,0,0,0,0,3.8828,0,0,0,0,1
6.7219,0,0,0,0,2.5182,0,0,0,0,4.2786,0,0,0,0,3.8311,0,0,0,0,2.5625,0,0,0,0,2.7624,0,0,0,0,5.6977,0,0,0,0,4.8919,0,0,0,0,3.2722,0,0,0,0,6.6417,0,0,0,0,9.9296,0,0,0,0,3.3707,0,0,0,0,12.896,0,0,0,0,7.1275,0,0,0,0,3.5701,0,0,0,0,4.067,0,0,0,0,14.877,0,0,0,0,6.6288,0,0,0,0,15.615,0,0,0,0,3.0758,0,0,0,0,15.177,0,0,0,0,3.4194,0,0,0,0,4.508,0,0,0,0,6.9688,0,0,0,0,3.5122,0,0,0,0,5.0555,0,0,0,0,17.335,0,0,0,0,10.645,0,0,0,0,6.6403,0,0,0,0,4.6941,0,0,0,0,5.4899,0,0,0,0,2.6036,0,0,0,0,1
12.429,0,0,0,0,3.0986,0,0,0,0,6.601,0,0,0,0,4.6804,0,0,0,0,2.6932,0,0,0,0,4.1161,0,0,0,0,11.062,0,0,0,0,7.362,0,0,0,0,6.9617,0,0,0,0,8.9422,0,0,0,0,13.362,0,0,0,0,3.718,0,0,0,0,17.137,0,0,0,0,9.3036,0,0,0,0,6.5034,0,0,0,0,8.0995,0,0,0,0,25.856,0,0,0,0,9.1466,0,0,0,0,27.839,0,0,0,0,4.2264,0,0,0,0,24.519,0,0,0,0,3.2696,0,0,0,0,6.1681,0,0,0,0,11.787,0,0,0,0,5.8266,0,0,0,0,6.3677,0,0,0,0,30.205,0,0,0,0,15.354,0,0,0,0,12.611,0,0,0,0,6.6089,0,0,0,0,11.329,0,0,0,0,3.5461,0,0,0,0,1
5.7353,0,0,0,0,2.2818,0,0,0,0,2.9716,0,0,0,0,3.2992,0,0,0,0,1.129,0,0,0,0,2.4447,0,0,0,0,4.0353,0,0,0,0,2.8321,0,0,0,0,2.5976,0,0,0,0,6.2017,0,0,0,0,7.8895,0,0,0,0,3.1711,0,0,0,0,10.784,0,0,0,0,6.7356,0,0,0,0,3.341,0,0,0,0,3.8664,0,0,0,0,10.465,0,0,0,0,4.4784,0,0,0,0,11.869,0,0,0,0,1.5182,0,0,0,0,9.8562,0,0,0,0,1.9606,0,0,0,0,3.7695,0,0,0,0,4.5077,0,0,0,0,2.0019,0,0,0,0,3.0263,0,0,0,0,17.336,0,0,0,0,10.375,0,0,0,0,4.9144,0,0,0,0,3.932,0,0,0,0,4.9401,0,0,0,0,2.2307,0,0,0,0,1
6.7213,0,0,0,0,2.1864,0,0,0,0,3.8313,0,0,0,0,3.6209,0,0,0,0,1.5358,0,0,0,0,2.7923,0,0,0,0,5.0518,0,0,0,0,3.8149,0,0,0,0,2.8351,0,0,0,0,7.2082,0,0,0,0,10.184,0,0,0,0,2.9016,0,0,0,0,12.855,0,0,0,0,7.409,0,0,0,0,4.0729,0,0,0,0,4.3315,0,0,0,0,14.026,0,0,0,0,5.6425,0,0,0,0,16.407,0,0,0,0,1.776,0,0,0,0,14.106,0,0,0,0,2.2549,0,0,0,0,4.9961,0,0,0,0,7.1293,0,0,0,0,2.9471,0,0,0,0,4.4462,0,0,0,0,20.47,0,0,0,0,12.042,0,0,0,0,6.1588,0,0,0,0,4.9986,0,0,0,0,6.7478,0,0,0,0,2.5137,0,0,0,0,1
10.056,0,0,0,0,2.254,0,0,0,0,4.7379,0,0,0,0,4.399,0,0,0,0,2.1608,0,0,0,0,3.3484,0,0,0,0,8.3485,0,0,0,0,6.6903,0,0,0,0,5.275,0,0,0,0,7.5486,0,0,0,0,10.763,0,0,0,0,3.111,0,0,0,0,14.29,0,0,0,0,8.0283,0,0,0,0,5.745,0,0,0,0,5.9758,0,0,0,0,20.509,0,0,0,0,7.2312,0,0,0,0,22.152,0,0,0,0,2.7124,0,0,0,0,20.866,0,0,0,0,2.5886,0,0,0,0,5.8491,0,0,0,0,9.5814,0,0,0,0,4.8496,0,0,0,0,4.532,0,0,0,0,26.994,0,0,0,0,13.192,0,0,0,0,10.194,0,0,0,0,5.5094,0,0,0,0,9.1003,0,0,0,0,2.6152,0,0,0,0,-1
12.116,0,0,0,0,3.4578,0,0,0,0,5.9031,0,0,0,0,4.9523,0,0,0,0,2.0565,0,0,0,0,3.7181,0,0,0,0,9.7933,0,0,0,0,7.2622,0,0,0,0,6.3443,0,0,0,0,10.101,0,0,0,0,16.338,0,0,0,0,4.0663,0,0,0,0,19.465,0,0,0,0,10.817,0,0,0,0,6.1006,0,0,0,0,7.3996,0,0,0,0,26.81,0,0,0,0,10.201,0,0,0,0,26.918,0,0,0,0,3.5005,0,0,0,0,23.995,0,0,0,0,3.1231,0,0,0,0,6.5186,0,0,0,0,11.474,0,0,0,0,5.5982,0,0,0,0,5.749,0,0,0,0,31.34,0,0,0,0,17.072,0,0,0,0,12.401,0,0,0,0,6.8984,0,0,0,0,10.561,0,0,0,0,3.5728,0,0,0,0,1
13.091,0,0,0,0,4.0074,0,0,0,0,6.4012,0,0,0,0,6.1061,0,0,0,0,1.9111,0,0,0,0,2.9739,0,0,0,0,6.1351,0,0,0,0,4.5094,0,0,0,0,3.4952,0,0,0,0,8.6067,0,0,0,0,11.742,0,0,0,0,5.2029,0,0,0,0,13.75,0,0,0,0,8.5679,0,0,0,0,6.6017,0,0,0,0,8.1327,0,0,0,0,22.693,0,0,0,0,10.607,0,0,0,0,18.517,0,0,0,0,2.6465,0,0,0,0,23.054,0,0,0,0,2.6103,0,0,0,0,4.0533,0,0,0,0,9.851,0,0,0,0,3.5655,0,0,0,0,7.6711,0,0,0,0,20.527,0,0,0,0,12.993,0,0,0,0,8.6766,0,0,0,0,6.434,0,0,0,0,10.597,0,0,0,0,3.7646,0,0,0,0,1
5.6205,0,0,0,0,1.8675,0,0,0,0,3.0287,0,0,0,0,2.5705,0,0,0,0,1.2714,0,0,0,0,2.0464,0,0,0,0,4.5569,0,0,0,0,3.4886,0,0,0,0,2.9336,0,0,0,0,4.3535,0,0,0,0,6.8511,0,0,0,0,2.3841,0,0,0,0,8.8735,0,0,0,0,5.7252,0,0,0,0,3.5427,0,0,0,0,3.7444,0,0,0,0,12.406,0,0,0,0,5.1586,0,0,0,0,12.181,0,0,0,0,1.8,0,0,0,0,11.557,0,0,0,0,1.9538,0,0,0,0,2.8587,0,0,0,0,5.6687,0,0,0,0,2.8499,0,0,0,0,3.5471,0,0,0,0,14.52,0,0,0,0,7.8778,0,0,0,0,5.8127,0,0,0,0,3.9665,0,0,0,0,5.3176,0,0,0,0,2.6124,0,0,0,0,1
11.552,0,0,0,0,3.8021,0,0,0,0,5.3736,0,0,0,0,5.4741,0,0,0,0,2.1778,0,0,0,0,3.8294,0,0,0,0,7.5225,0,0,0,0,5.5847,0,0,0,0,4.6208,0,0,0,0,12.59,0,0,0,0,14.512,0,0,0,0,3.7162,0,0,0,0,16.799,0,0,0,0,9.8334,0,0,0,0,4.9883,0,0,0,0,8.389,0,0,0,0,21.697,0,0,0,0,9.5263,0,0,0,0,21.909,0,0,0,0,3.1385,0,0,0,0,21.392,0,0,0,0,3.0576,0,0,0,0,6.1512,0,0,0,0,11.407,0,0,0,0,4.5749,0,0,0,0,6.5425,0,0,0,0,29.32,0,0,0,0,18.602,0,0,0,0,9.233,0,0,0,0,6.5147,0,0,0,0,8.6492,0,0,0,0,2.9447,0,0,0,0,-1
5.9572,0,0,0,0,2.4154,0,0,0,0,3.1016,0,0,0,0,2.949,0,0,0,0,1.22,0,0,0,0,2.4929,0,0,0,0,4.15,0,0,0,0,2.7327,0,0,0,0,2.7566,0,0,0,0,8.1471,0,0,0,0,8.5714,0,0,0,0,3.149,0,0,0,0,11.677,0,0,0,0,7.3819,0,0,0,0,3.2518,0,0,0,0,3.804,0,0,0,0,11.927,0,0,0,0,5.4089,0,0,0,0,12.992,0,0,0,0,1.9865,0,0,0,0,11.247,0,0,0,0,2.1909,0,0,0,0,4.4234,0,0,0,0,5.6768,0,0,0,0,2.7583,0,0,0,0,4.2087,0,0,0,0,19.385,0,0,0,0,12.232,0,0,0,0,4.9547,0,0,0,0,3.9479,0,0,0,0,4.657,0,0,0,0,2.2086,0,0,0,0,1
7.3075,0,0,0,0,2.9377,0,0,0,0,4.7723,0,0,0,0,4.7926,0,0,0,0,2.5796,0,0,0,0,2.3224,0,0,0,0,4.912,0,0,0,0,3.2746,0,0,0,0,2.8976,0,0,0,0,6.7054,0,0,0,0,8.2245,0,0,0,0,3.4822,0,0,0,0,9.9552,0,0,0,0,5.6797,0,0,0,0,3.4908,0,0,0,0,4.7734,0,0,0,0,11.952,0,0,0,0,6.356,0,0,0,0,11.771,0,0,0,0,3.9928,0,0,0,0,14.378,0,0,0,0,3.7667,0,0,0,0,3.1596,0,0,0,0,6.3321,0,0,0,0,2.9334,0,0,0,0,5.2169,0,0,0,0,12.739,0,0,0,0,8.6383,0,0,0,0,4.8742,0,0,0,0,4.4584,0,0,0,0,5.5807,0,0,0,0,2.0601,0,0,0,0,1
11.482,0,0,0,0,2.4969,0,0,0,0,4.4973,0,0,0,0,4.4334,0,0,0,0,2.3728,0,0,0,0,3.8576,0,0,0,0,10.994,0,0,0,0,6.4324,0,0,0,0,6.2744,0,0,0,0,7.5459,0,0,0,0,10.263,0,0,0,0,3.4338,0,0,0,0,13.246,0,0,0,0,7.0606,0,0,0,0,6.5006,0,0,0,0,7.7974,0,0,0,0,25.713,0,0,0,0,8.6914,0,0,0,0,20.106,0,0,0,0,3.4876,0,0,0,0,25.412,0,0,0,0,3.007,0,0,0,0,4.61,0,0,0,0,12.621,0,0,0,0,6.2262,0,0,0,0,5.2946,0,0,0,0,31.463,0,0,0,0,14.065,0,0,0,0,13.759,0,0,0,0,5.4025,0,0,0,0,10.914,0,0,0,0,3.541,0,0,0,0,1
10.344,0,0,0,0,3.5341,0,0,0,0,5.3604,0,0,0,0,4.9648,0,0,0,0,2.9024,0,0,0,0,2.6023,0,0,0,0,8.9672,0,0,0,0,5.2812,0,0,0,0,5.2016,0,0,0,0,6.4593,0,0,0,0,8.0311,0,0,0,0,3.4806,0,0,0,0,8.7609,0,0,0,0,4.7481,0,0,0,0,5.0568,0,0,0,0,7.7873,0,0,0,0,18.443,0,0,0,0,6.8658,0,0,0,0,15.165,0,0,0,0,4.3916,0,0,0,0,21.341,0,0,0,0,3.4949,0,0,0,0,2.7739,0,0,0,0,10.064,0,0,0,0,5.3242,0,0,0,0,6.308,0,0,0,0,15.688,0,0,0,0,8.9613,0,0,0,0,9.2891,0,0,0,0,4.9985,0,0,0,0,8.8482,0,0,0,0,3.2794,0,0,0,0,1
10.047,0,0,0,0,3.0201,0,0,0,0,5.3594,0,0,0,0,3.774,0,0,0,0,1.5941,0,0,0,0,3.1047,0,0,0,0,7.8495,0,0,0,0,5.8852,0,0,0,0,4.6035,0,0,0,0,10.078,0,0,0,0,15.015,0,0,0,0,3.5888,0,0,0,0,19.369,0,0,0,0,10.031,0,0,0,0,4.1169,0,0,0,0,6.2603,0,0,0,0,22.107,0,0,0,0,8.4842,0,0,0,0,26.993,0,0,0,0,2.4134,0,0,0,0,18.879,0,0,0,0,2.5981,0,0,0,0,6.4747,0,0,0,0,10.737,0,0,0,0,4.3869,0,0,0,0,5.225,0,0,0,0,23.914,0,0,0,0,15.326,0,0,0,0,9.5142,0,0,0,0,6.6523,0,0,0,0,8.7731,0,0,0,0,2.7469,0,0,0,0,1
NaN,0,0,0,0,25.518,0,0,0,0,3.0758,0,0,0,0,9.5263,0,0,0,0,2.3585,0,0,0,0,8.3252,0,0,0,0,4.6337,0,0,0,0,33.154,0,0,0,0,6.5501,0,0,0,0,5.093,0,0,0,0,14.119,0,0,0,0,6.0575,0,0,0,0,1.8279,0,0,0,0,20.796,0,0,0,0,2.5465,0,0,0,0,21.762,0,0,0,0,7.3991,0,0,0,0,5.7238,0,0,0,0,2.6421,0,0,0,0,7.7458,0,0,0,0,7.0942,0,0,0,0,4.0723,0,0,0,0,13.206,0,0,0,0,24.507,0,0,0,0,27.645,0,0,0,0,4.379,0,0,0,0,26.186,0,0,0,0,1.9182,0,0,0,0,3.3497,0,0,0,0,33.219,0,0,0,0,13.202,0,0,0,0,47.231,0,0,0,0,1
4.4483,0,0,0,0,21.17,0,0,0,0,4.2333,0,0,0,0,14.721,0,0,0,0,1.3611,0,0,0,0,8.1754,0,0,0,0,6.5604,0,0,0,0,41.213,0,0,0,0,5.1409,0,0,0,0,6.8343,0,0,0,0,11.24,0,0,0,0,5.1221,0,0,0,0,1.4117,0,0,0,0,22.559,0,0,0,0,3.8215,0,0,0,0,17.509,0,0,0,0,14.164,0,0,0,0,4.6036,0,0,0,0,2.1901,0,0,0,0,7.4828,0,0,0,0,11.538,0,0,0,0,3.9487,0,0,0,0,11.46,0,0,0,0,22.11,0,0,0,0,21.375,0,0,0,0,3.3913,0,0,0,0,20.039,0,0,0,0,2.1173,0,0,0,0,5.7396,0,0,0,0,28.528,0,0,0,0,15.062,0,0,0,0,36.412,0,0,0,0,1
2.7952,0,0,0,0,10.594,0,0,0,0,5.0311,0,0,0,0,12.967,0,0,0,0,1.453,0,0,0,0,7.3561,0,0,0,0,5.3564,0,0,0,0,39.664,0,0,0,0,1.3815,0,0,0,0,5.0382,0,0,0,0,4.7258,0,0,0,0,1.6927,0,0,0,0,0.79674,0,0,0,0,20.088,0,0,0,0,4.2876,0,0,0,0,8.0341,0,0,0,0,16.786,0,0,0,0,2.5498,0,0,0,0,2.3067,0,0,0,0,4.8091,0,0,0,0,10.631,0,0,0,0,1.9862,0,0,0,0,5.0658,0,0,0,0,12.535,0,0,0,0,8.6707,0,0,0,0,1.7767,0,0,0,0,4.8717,0,0,0,0,1.9566,0,0,0,0,6.7348,0,0,0,0,8.2884,0,0,0,0,12.425,0,0,0,0,14.367,0,0,0,0,1
4.4854,0,0,0,0,21.261,0,0,0,0,4.5162,0,0,0,0,13.381,0,0,0,0,1.5726,0,0,0,0,8.5122,0,0,0,0,5.8346,0,0,0,0,41.567,0,0,0,0,4.8642,0,0,0,0,6.1784,0,0,0,0,10.635,0,0,0,0,4.4824,0,0,0,0,1.4262,0,0,0,0,23.898,0,0,0,0,3.8841,0,0,0,0,16.676,0,0,0,0,14.223,0,0,0,0,4.5364,0,0,0,0,2.5126,0,0,0,0,7.2069,0,0,0,0,10.492,0,0,0,0,3.1612,0,0,0,0,10.76,0,0,0,0,21.365,0,0,0,0,20.032,0,0,0,0,3.1664,0,0,0,0,17.793,0,0,0,0,2.2367,0,0,0,0,5.8019,0,0,0,0,24.348,0,0,0,0,14.856,0,0,0,0,36.226,0,0,0,0,1
