@relation arousal

@attribute class {-1,1}
@attribute user numeric
@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute Theta_33 numeric
@attribute Alpha_33 numeric
@attribute LowBeta_33 numeric
@attribute HighBeta_33 numeric
@attribute Gamma_33 numeric
@attribute Theta_34 numeric
@attribute Alpha_34 numeric
@attribute LowBeta_34 numeric
@attribute HighBeta_34 numeric
@attribute Gamma_34 numeric
@attribute Theta_35 numeric
@attribute Alpha_35 numeric
@attribute LowBeta_35 numeric
@attribute HighBeta_35 numeric
@attribute Gamma_35 numeric
@attribute Theta_36 numeric
@attribute Alpha_36 numeric
@attribute LowBeta_36 numeric
@attribute HighBeta_36 numeric
@attribute Gamma_36 numeric
@attribute Theta_37 numeric
@attribute Alpha_37 numeric
@attribute LowBeta_37 numeric
@attribute HighBeta_37 numeric
@attribute Gamma_37 numeric
@attribute Theta_38 numeric
@attribute Alpha_38 numeric
@attribute LowBeta_38 numeric
@attribute HighBeta_38 numeric
@attribute Gamma_38 numeric
@attribute Theta_39 numeric
@attribute Alpha_39 numeric
@attribute LowBeta_39 numeric
@attribute HighBeta_39 numeric
@attribute Gamma_39 numeric
@attribute Theta_40 numeric
@attribute Alpha_40 numeric
@attribute LowBeta_40 numeric
@attribute HighBeta_40 numeric
@attribute Gamma_40 numeric

@data
1,6,1540,1077.8,597.67,680.53,614.45,3851.7,2140.7,1636,1850.2,1675.3,2557,1408.9,1046.4,1100.8,988.57,1823.7,1215.1,842.91,872.72,777.01,2488.5,887.43,592.27,668.53,630.69,6285,3355.3,2459.1,2903.3,2620.3,1885.3,1012.7,577.3,648.06,600.35,2630.7,1029.8,892.12,953.49,865.66,1701.1,899.81,387.76,310.84,260.2,4121.3,1564.5,694.5,668.35,568.74,1870.1,1140.3,467.14,410.27,378.69,975.75,966.79,556.98,483.79,433.97,1414.8,1352.3,676.77,713.49,633.78,1146.7,881.82,509.21,504.95,444.06,2410.4,1453.9,1115.4,1292.1,1165.4,2126.8,1363.8,590.64,595.63,493.77,4456,1332.6,803.35,861.05,822.99,2625,1220.6,869.44,992.72,932.7,1678.6,945.3,509.2,285.86,201.94,2523.1,1530,1205.3,1431.7,1312.1,872.43,713.63,302.82,291.98,252.2,686,706.59,415.24,482.98,451.13,4147.4,1492.5,939.75,1015,951.06,2031.7,1153.5,775.67,849.92,750.11,1155.5,1028.5,547.21,565.07,474.5,3346.2,1777.1,1385.7,1682,1517.1,1371,841.97,409.93,318.05,285.01,1418.3,978.27,464.98,460.97,379.34,1303.9,1298,585.19,559.87,495.64,1385.8,923.73,486.2,387.07,379.58,2048.2,1179.3,538.25,521.02,440.03,2780.4,1241.9,805.52,897.02,794.52,1349.8,773.34,587.7,689.28,628.94,4239.1,847.05,458.15,417.33,395.36,456.72,306.05,321.7,356.53,310.77,2080.4,1383,894.92,588.93,453.49,111000,56140,33039,24800,19838,43118,28183,16946,12448,9976.4,82774,13199,6186.7,4583.5,3627.2,0.30475,0.15395,0.091536,0.06961,0.055771
1,7,2119.6,1440.8,881.53,914.67,849.54,1170.7,1014.8,614.01,553.01,470.72,1529.8,1250.3,810.6,782.3,722.89,1531.2,1160.6,815.77,794.27,729.7,1116.1,1011.9,940.6,861.24,912.32,1098.5,820.72,648.5,637.2,585.33,1805.8,1324.8,1097.1,1207.2,1138.9,1461.7,1142.5,906.32,1021.3,946.27,1302.2,1100.5,785.52,858.79,822.16,1840.8,1036.6,617.23,747.02,649.79,2265,1474.8,749,814.18,742.84,1438.6,1149.3,512.05,474.54,435.07,2521.2,1613.5,860.55,947.9,879.17,1951.5,1203.1,744.34,846.31,757.95,1533.6,1076.2,710.17,769.11,714.59,1730.3,1277.9,670.73,706.39,656.25,2946,1970.7,1258.8,1399.8,1304.3,1977.7,1460.5,886.16,917.79,809.86,2805,1709.8,1155.7,1302.8,1279.2,1325.2,1234.1,1104.2,1084.8,1086.9,2922.1,2157.5,1487.5,1612.5,1528.3,1278.9,1177.6,1038.4,1045.1,1047.3,1357.9,750.99,612.09,666.94,586.05,1974.4,1352.5,906.39,970.94,900.02,1484.9,1145.5,982.75,1021.8,1047.9,1750.8,1606.4,1055.1,1040.5,1075.7,2850.5,1423.6,1236.8,1629,1444.9,2322.3,1110.3,799.52,1045.8,897.96,1958.7,1402.1,908.8,1060.1,1007.7,1509.8,1164.7,676.49,668.4,638.37,1919.7,1394,822.4,853.68,812.49,1175.8,946.28,624.12,631.97,603.26,2733.1,1532,1065.8,1181.3,1142.9,2985.3,1287.4,890.43,1091.6,952.56,466.46,353.21,426.47,587.68,637.95,1647.1,950.47,741.15,634.51,458.15,26706,13477,7941.5,5960.8,4753.1,138000,82482,52207,37439,30595,63557,9953.5,4903.2,3704.8,2923,0.096898,0.057703,0.03628,0.028789,0.025532
1,7,2853.4,1807.3,1214.8,1100.8,1007.9,1122,1097.5,797.42,759.74,683.74,1817.2,1349,1070.4,965.04,1027.8,1753.4,1470.8,1150.8,1140.4,1169.2,1219,1293.4,1243.3,1190.9,1202.7,1187.3,895.05,759.94,722.41,728.22,2728.2,1731.1,1374.9,1325.3,1347.3,2118.8,1469.5,1109.9,1121.1,1075.4,2075.1,1359.6,959.01,914.52,939.69,1575.5,1091.1,625.64,756.06,633.24,2369.9,1565.8,841.11,823.19,703.63,1531.2,1236.7,566.45,484.96,428.13,2617.4,1684.4,945.76,934.21,818.22,1749.3,1187.2,767.79,770.34,725.41,2058.4,1174.9,786.17,718.38,685.53,2303.6,1499.9,762.01,644.38,592.92,4019,2417.5,1444.9,1368.3,1202.7,2291.1,1692.5,1104.1,967.5,919.37,3610.2,2012.6,1314.2,1269,1166,1697.7,1616.8,1569.1,1624.4,1667.6,4127.2,2584.1,1851.9,1816.5,1765.9,1485,1380.1,1339.3,1355.4,1375.5,1251.9,848.99,683.94,710.78,688.04,2689.8,1563.6,956.07,896.65,797.48,2064,1439.1,1247.5,1209.5,1255.5,1928.3,1655.4,1363.5,1326.3,1408.1,3437.1,1773.2,1376.6,1631.1,1417.5,2094.1,1225,821.19,1042,856.46,2880.6,1693.3,1049.9,1009.5,922.1,1866.7,1278.3,778.17,742.1,719.37,2783.7,1625.5,923.93,833.67,766.26,1401,1013.8,763.44,692.41,733.95,3354.4,1727.2,1082.9,1040.9,953.34,2115.3,996.3,743.95,999.35,830.01,1748.6,881.39,524.11,415.07,328.29,3449.9,1784.4,1067.4,838.14,674.75,32317,16313,9584,7192.1,5730.3,117000,67544,40677,32315,26894,111000,9929.7,2988.7,2228.8,1813.9,0.75888,0.38439,0.22642,0.1697,0.13601
1,7,2384.5,1688.7,957.92,922.5,995.2,1015.5,938.3,525.22,457.74,399.31,1499.3,1212,774.44,771.52,791.9,1404.6,1128.3,796.89,780.65,754.1,989.49,944.34,894.16,928.51,906.55,1247.9,784.95,577.19,573.4,581.18,2380.2,1505.2,1117.5,1211.4,1315.1,1889.6,1227.3,1050.5,1126.9,1178.5,1913.4,1232.1,915.81,950.81,1029,1629.7,1002.8,492.96,499.41,489.21,2220.8,1343.3,813.93,751.53,799.49,1253.9,1005.9,572.02,559.37,548.91,2247.4,1446.3,867.72,847.8,895.77,1648.3,1104.9,723.13,690.03,697.46,1747.9,1168.5,749.57,751.17,818.42,1934.9,1396.6,770.74,737.58,830.54,3586.1,2179.4,1445.1,1451.1,1584.6,2013.3,1468.2,996,903.13,942.1,3096.7,1938.3,1289.4,1302.1,1444.5,1226.8,1191.2,1029.5,1050.7,1061.3,3640.7,2307.3,1632.1,1691.8,1805.4,1109.3,1061.7,939.46,975.17,962.36,1279,710.22,514.12,498.24,473.74,2396.1,1482.1,1014.9,1032.4,1126,1741,1233.2,1034.2,1056,1136.3,1666.7,1453.5,1177.9,1097.1,1270.1,3731,1855.3,1358,1440,1584.1,2309.2,1197.5,705.32,739.94,752.54,2642.1,1622.9,1108.1,1138.9,1287.5,1560.7,1192.6,756.2,711.3,756.45,2291.4,1536.1,930.56,928.68,1021.3,1351.6,893.65,628.19,610.56,630.56,2988,1689.3,1194.6,1246.1,1423.2,2418.4,1022.2,637.69,664.38,668.86,2097.3,1108.5,753.01,807.01,868.67,5090.5,2640.7,1584.4,1205.6,965.51,143000,72101,42395,31827,25345,151000,79331,51328,41850,34494,96738,17819,9608.3,7209.3,5753.4,0.71744,0.36194,0.21321,0.15994,0.12781
1,7,2211.6,1425.3,891.28,996.45,864.64,943.49,840.29,521.44,448.91,391.03,1416.1,1040.6,714.68,737.81,624.98,1309.5,984.77,653.34,657.36,590.12,754.46,736.39,619,590.72,592.12,1080.7,678.95,493.64,507.62,436.3,2044.3,1263.7,946.4,1108.1,1021.9,1588.5,1158.7,945.24,983.88,998.02,1565.5,1046.5,731.08,837.87,784.47,1654,907.05,510.72,632.34,548.12,2075.8,1362.8,785.89,899.14,749.45,1216.9,1056,554.41,534.13,484.88,2314.3,1450.7,881.46,1040.6,885.53,1710.9,1098.3,749.67,798.97,771.41,1573.7,1024.7,690.96,745.03,713.37,1800.5,1203.6,705.59,757.16,684.66,3149.1,2015,1335.8,1509.1,1311.9,1807.1,1347.4,875.91,879.98,769.62,2975.7,1749.4,1216.6,1480.2,1290.1,1053,1000,871.79,806.22,844.42,3037.6,2029.4,1473.7,1577.1,1428.4,971.42,874.9,731.85,775.51,711.47,1273.8,686.42,506.35,590.43,483.49,2085.4,1430,909.32,1043.4,934.84,1508.9,1062.2,825.32,892.21,889.75,1328.5,1281,875,844.36,879.71,3095.6,1397.7,1175.6,1424.5,1409,2098.3,1040.1,682.45,870.11,791.98,2189.4,1423.6,961.83,1123.6,1049.5,1502.3,1113.9,737.08,756.94,690.56,2138.4,1380.6,896.11,924.35,849.42,1120.6,837.59,589.98,624.41,574.52,2678.9,1533.2,1090.4,1279.9,1171.3,2682.9,1058.6,760.19,971.75,813.18,1898.4,1009.3,688.57,788.8,739.8,1699.3,937.12,685.64,583.62,486.98,63325,31962,18831,14119,11243,152000,89913,56664,44619,35700,113000,17923,9154.5,6868.5,5480.2,1.0571,0.53352,0.31442,0.23585,0.1879
1,7,2284.3,1451.8,877.19,918.31,789.46,1374.2,978.77,660.68,576.99,428.98,1555.4,1081.6,706.69,741.87,599.25,1564.5,1136.7,742.02,726.69,638.73,997.97,845.63,744.99,723.74,698.63,1208.3,781.71,602.62,627.19,525.03,1719.4,1205.5,890.89,1005.7,959.89,1506.2,1015.1,796.19,923.99,845.38,1407.1,1009.1,684.01,777.05,738.77,2126.2,1130.7,722.86,848.94,680.96,2375.3,1438.4,844.38,899.65,742.56,1400.1,1106.4,513.42,455.16,399.62,2511.6,1492.7,934.58,1052.1,875.25,1951.9,1176.1,810.34,895.39,816.47,1581.8,1019.3,664.6,741.88,674.58,1880.8,1280.8,623.96,659.38,591.83,3045.6,1916.9,1197.7,1368.9,1214.5,1997.6,1457.1,870.03,836.69,704.18,2772.7,1574.4,1156.7,1356.2,1188.2,1205.9,1010.7,676.52,665.7,623.71,2938.6,2010.9,1267.1,1371.8,1306.9,1198.4,1045.2,869.56,814.55,845.51,1408.5,740.98,634.09,717.42,570.84,2243,1387.6,793.1,928.04,799.08,1517.5,1053.5,804.8,873.62,894.55,1635.2,1413.9,876.83,890.8,893.23,2908.3,1376,1254.4,1634,1410.9,2407.8,1194,923.57,1129.3,931.1,1857.8,1301,820.1,956.73,891.96,1595.6,1103.1,658.6,723.82,608.52,1958.6,1330.8,743.48,828.4,733.12,1084.5,876.68,629.38,612.69,588.84,2093.1,1284.1,858.69,1064.4,990.74,2314.9,869.27,902.94,1171,942.1,370.09,269.64,290.54,501,404.63,1433.2,825.58,704.04,627.59,456.2,26225,13255,7795.7,5847.5,4652.3,140000,76761,51622,40133,30123,124000,52661,31076,23358,18568,0.98198,0.49415,0.29171,0.21996,0.17421
-1,7,2312,1442.8,771,632.42,541.12,1166.8,943.54,530.72,437.43,302.67,1665.1,1122.7,685.24,630.2,525.01,1285.2,993.89,656.85,549.49,509.85,914.52,794.56,622.51,653.09,617.15,1192.8,736.7,482.21,489.93,385.95,2223.3,1219,802.35,706.72,714.6,1849,1094,686.15,629.28,651.65,1750.3,1013.3,590.72,506.47,513.22,1895.7,967.17,466.41,507.34,397.7,2451,1395.3,639.23,596.51,460.42,1404.1,1134.8,477.85,361.13,297.42,2692.9,1517.5,724.94,681.4,544.18,1898.8,1076.3,615.64,597.12,512.61,1615.1,1003.5,597.43,478.36,503.19,1880.8,1281.2,581.81,428.65,413.25,3570.5,1980.2,1040.8,927.33,803.4,2151,1376,786.4,666.62,541.13,3431.5,1719.7,937.13,845.77,759.02,1173,1039.1,810.74,864.25,844.4,3359.5,2051.9,1154.3,1136.5,1046.7,1143.6,967.75,794.18,783.61,818.94,1444.6,694.19,485.41,544.57,405.81,2366.7,1365.9,706.69,675.6,545.07,1766.2,1096.7,775.53,732.74,782.54,1600.9,1275.2,809.71,771.28,794.26,3142.3,1361.5,892.29,1019.7,889.43,2312.8,1118.3,590.89,687.38,551.02,2524.9,1413.8,732.61,604.02,609.72,1733.8,1142.2,571.45,504.23,443.84,2200.3,1414.5,699.02,553.64,526.55,1268.5,844.72,575.07,519.21,498.82,2730,1397.9,739.72,625.96,652.15,2538.4,807.61,554.07,695.31,539.13,351.5,242.18,239.96,330.75,418.09,2112.2,1078.8,831.85,656.01,502.81,31140,15717,9249.3,6932,5521.3,127000,74464,47269,35377,28573,106000,33263,19161,14405,11421,0.10784,0.057659,0.037765,0.029091,0.025872
-1,7,2637,1765.7,1094.9,1208.1,1188.1,1125.3,1061.5,717.83,609.7,571.07,1743.4,1419.5,1096.8,1098.5,1060.1,1654.9,1405.3,1119.3,1099.4,1066.8,1269.9,1207.7,1291.7,1136.4,1333.2,1256.1,907.69,804.89,789.8,780.07,2584.4,1794.1,1595.6,1749.1,1770.6,1943.4,1419.7,1251.1,1261.2,1342.8,1983.3,1352.4,1098.9,1252,1257.1,1456.5,1033.4,596.11,661.2,570.63,2177.4,1481.5,889.3,956.32,929.56,1475.2,1163.9,634.5,611.06,602.57,2459,1610.7,980.17,1055.6,1025.2,1664.6,1069.6,616.12,630.24,540.91,1872.2,1214.6,818.92,903.18,909.58,2090.9,1461.4,893.72,992.5,995.22,3795.3,2439.1,1650.6,1842.6,1884.2,2253.4,1641.9,1116.7,1107.3,1110.4,3341,2117.7,1469.9,1700.5,1737.6,1556.7,1547.1,1497.4,1610.4,1645.7,3795.2,2595.4,2001.1,2078.7,2195.8,1330.6,1211.2,1158.9,1140.3,1200.8,1221.8,798.6,649.11,635.13,599.41,2578,1670.4,1150.3,1303.6,1335.3,1880.9,1434,1233,1294.7,1391,1844.3,1586.3,1239.5,1233.4,1328.3,3326.9,1783.1,1486,1774.9,1728.1,1990.7,1169.1,780.67,936.09,823.88,2744.7,1761.7,1278.8,1436.1,1514.1,1701.2,1332.2,827.86,870.45,879.41,2509,1696.2,1060.4,1210.8,1221.2,1439.8,1040.2,758.37,740.67,795.4,3131.4,1876,1367.4,1628.4,1684.8,2405.8,1143.6,788.85,901.4,741.92,866.62,515.48,493.24,597.14,579.87,1499.4,914.16,653.89,557.12,416.75,10405,5287.6,3112.1,2323.9,1851.5,129000,70076,47210,35722,28545,124000,12580,4621.9,3519.3,2775.5,1.2381,0.62562,0.36793,0.27632,0.22026
-1,7,2887.5,1744.5,1069.2,1076.5,1091.9,1546,960.44,609.78,541.11,451.82,2083.4,1239.8,816.42,846.43,796.29,1755.3,1159.9,757.53,775.2,716.28,1118,914.66,817.94,792.87,780.08,2022.6,819.57,556.58,572.68,523.87,2776.3,1544.9,1076.1,1207.2,1278,2465.9,1318.4,957.99,1087.2,1100.1,2136,1242.7,792.68,897.6,941.84,3741.2,1141.7,526.37,592.98,489.77,4101.8,1608.5,797.57,813.93,815.55,1769,1169.4,575.15,520.04,531.85,4806.3,1751.9,890.65,927.6,917.29,3639.5,1210.3,645.38,639.37,594.29,2060,1176,731.47,748.89,780.74,2242.1,1437.6,758.34,792.25,845.54,4781.4,2499.7,1426,1522.3,1616,2920.1,1633.3,990.61,951.11,935.9,5263.1,2180.8,1280.7,1423.4,1485.2,1504.3,1100.1,969.33,895.06,995.73,4257.1,2438.3,1514.4,1648.9,1708,1696,1038.6,836.24,904.84,806.51,2933.5,858.96,506.18,554.01,451.08,3059.7,1733.1,993.29,1077.7,1137.6,2005.9,1245.3,844.81,945.28,984.23,2037.8,1426.1,832.66,891.38,852.2,6174.8,1808.5,1189.4,1508.5,1431.6,4709.6,1316.7,702.93,844.46,722.21,3041.1,1691.8,1047.9,1185.2,1278.9,2380.1,1336.8,721.47,709.52,722.72,2596.5,1664.8,948.67,960.85,1022.6,1411.4,955.46,648.32,648.14,665.72,3947.2,1999.1,1262.9,1374.2,1461.3,5496.9,1111.8,623.08,810,662.24,933.68,513.5,417.9,504.5,538.51,3720.2,1942.2,1198.8,967.76,789.55,90294,45623,26840,20154,16022,161000,103000,66923,55184,46227,69664,24980,14873,11189,8891.8,2.2194,1.1228,0.66016,0.49519,0.3931
-1,7,1825.9,1347.7,1028.6,1293.4,964.15,1257.3,1076.1,797.36,856.08,707.97,1471.6,1270,957.28,1125.3,920.38,1448.4,1258.2,1109.4,1153.2,1074.9,1154.7,1102.1,1150,1107.9,1171.1,1108.3,889.93,728.86,743.66,705.76,1519.7,1293.7,1171,1298.4,1237.6,1325.5,1032.1,960,1012.4,965.07,1153.7,1007.5,793.55,889.94,842.18,1889.7,1059.6,641.97,761.01,656.13,2169.6,1427.7,734.22,799.49,677.72,1191.3,1067.2,513.09,483.37,405.39,2350.5,1531.7,836.62,935.35,794.29,1804.1,1110.4,712.5,767.02,693.24,1220,942.33,668.87,659.23,644.93,1467.2,1167.2,594.53,591.48,558.35,2540,1735,1128.1,1266.2,1143.5,1893,1412.2,921.06,932.55,849.41,2593.7,1447.4,1084,1207.6,1098.7,1518.2,1473.6,1322.3,1420,1409.9,2440.5,1919.4,1496.4,1544.1,1511.4,1288.5,1316.3,1154.1,1136.2,1239.5,1416.6,783.95,648.74,714.19,636.48,1742.5,1266,773.08,811.95,733.18,1345.9,1173.8,996.01,1046,1103.7,1609.3,1476.8,1209.5,1203.7,1266.8,2575.8,1302.4,1219.5,1502.6,1427.3,2248.8,1139,805.56,991.13,890.52,1661.2,1225.9,828.2,884.01,867.71,1471,1130.9,724.54,751.72,706.17,1502.3,1292.3,785.04,772.58,729.37,1114.8,954.34,724.65,725.44,718.37,1656.3,1035.4,810.6,915.2,893.61,2387.3,838.56,794.23,1029.5,885.18,1316.3,674.08,413.61,345.4,292.93,2950.7,1518.7,929.87,746.65,595.18,38084,19271,11336,8499.9,6767.4,127000,69278,42351,33424,26893,214000,97942,56916,42737,33948,1.2092,0.61013,0.35954,0.2696,0.21476
1,7,2669,1666.2,960.1,925.16,932.31,1061.3,919.6,558.29,453.04,393.89,1667.3,1199.7,776.21,803.65,740.29,1448,1138.7,846.12,835.92,786.98,1038.1,990.32,947.64,960.6,966.81,1247.8,803.04,586.91,575.36,542.52,2685.5,1624.3,1139,1231,1261.9,2076,1351.5,1075.4,1200.3,1199,2104.6,1315.2,942.75,1046.6,1038.3,1716.7,1045.8,487.05,457.88,448.94,2263.8,1463.2,719.03,707.03,729.58,1463.4,1167.1,642.27,618.92,610.66,2605,1553.5,818.07,801.36,820.36,1746.3,1082,735.74,677.53,688.03,1898.1,1131.8,768.13,761.34,773.31,2192.4,1372,768.61,761.99,769.16,4011.7,2353.8,1365.7,1470.2,1442.9,2268.8,1486,891.19,844.12,840.82,3537.9,2016.3,1234.2,1288.4,1321.2,1391.9,1104.7,1040.2,1005.9,1065.8,3979.4,2452.2,1581.6,1711.8,1698.2,1307.2,1109.8,959.02,1031.7,1022.7,1302.4,713.54,495.57,485,462.41,2708.8,1627.6,968.43,1040.6,1038.5,1972.7,1307.6,993.85,1063.7,1136.6,1900.7,1532.7,1322.4,1186.6,1320.5,3717.1,1826.6,1328.6,1452.2,1490.4,2285.4,1167.9,649.77,689.13,691.74,2939.3,1679.8,1059.1,1147.6,1186.5,1824.9,1215.1,783.35,714.8,734.15,2615.5,1577.2,928.98,928.44,950.18,1344.5,860.56,618.33,616.9,612.4,3420.8,1875.2,1175.7,1260.8,1312.1,2537.1,1015.1,625.25,614.53,603.86,1863.5,982.64,683.46,731.42,784,1700.3,865.46,650.08,551.09,501.58,233000,117000,69113,51866,41293,158000,89011,59058,43350,38546,94117,19652,11245,8458.1,6735.2,0.38247,0.19488,0.11369,0.086039,0.069104
1,7,2059.8,1445.4,898.43,1008.8,934.05,996.93,914.96,531.03,479.86,372.36,1335.8,1073.7,693.32,749.37,681.01,1270.1,1021.4,745.05,747.37,649.64,888.99,814.51,747.19,707.94,688.75,1026.4,728.14,509.33,535.61,468,1866.1,1246.2,1002.1,1181.1,1154.2,1508.1,1169.6,979.84,1126.1,1059,1416.6,1098.2,847.75,933.34,917.84,1672.4,1081.7,481.3,592.58,504.25,2120.8,1342.6,759.5,814.6,769.42,1230.8,1033.5,569.76,560.73,522.84,2250.3,1408.5,837.48,949.41,881.09,1622.2,1076.1,756.85,786.42,759.98,1429.5,1048.9,748.27,808.67,773.63,1690.6,1234,730.65,800.35,757.66,2969.1,1904.1,1316.8,1520.4,1417.2,1869.2,1311.4,880.3,896.28,814.74,2674.3,1724.4,1196.5,1414.4,1366.3,1120.9,1051.8,899.96,863.77,917.96,2897.5,1998.4,1474.3,1684.8,1574.2,1040,939.2,774.26,880.03,751.02,1118.4,687.93,497.15,542.76,472.82,2077.7,1434.6,931.29,1105.1,1015.2,1395,1076.4,898.29,1015.8,969,1509.7,1334,975.95,989.03,1046.3,2659.5,1403.1,1232.4,1559.3,1429.6,1941.5,1102.1,660.81,858.3,724.52,2056.8,1340.4,1007.2,1204,1147.1,1474.9,1154.5,750.23,719.19,740.37,1927.6,1369.1,906.72,987.92,938.13,1148,831.1,625.32,622.64,605.26,2598.9,1490.9,1118.7,1370.5,1293.1,2805.9,1347.5,856.98,912.29,795.16,4485.9,2295,1392.4,1186.2,996.2,10756,5426.2,3226.9,2403.4,1942.5,77703,39224,23064,17324,13774,149000,87875,56557,48209,37146,102000,12684,5612,4239.7,3371.3,0.28004,0.14266,0.084531,0.06378,0.051936
