@relation arousal 

@attribute Theta_1 numeric
@attribute Alpha_1 numeric
@attribute LowBeta_1 numeric
@attribute HighBeta_1 numeric
@attribute Gamma_1 numeric
@attribute Theta_2 numeric
@attribute Alpha_2 numeric
@attribute LowBeta_2 numeric
@attribute HighBeta_2 numeric
@attribute Gamma_2 numeric
@attribute Theta_3 numeric
@attribute Alpha_3 numeric
@attribute LowBeta_3 numeric
@attribute HighBeta_3 numeric
@attribute Gamma_3 numeric
@attribute Theta_4 numeric
@attribute Alpha_4 numeric
@attribute LowBeta_4 numeric
@attribute HighBeta_4 numeric
@attribute Gamma_4 numeric
@attribute Theta_5 numeric
@attribute Alpha_5 numeric
@attribute LowBeta_5 numeric
@attribute HighBeta_5 numeric
@attribute Gamma_5 numeric
@attribute Theta_6 numeric
@attribute Alpha_6 numeric
@attribute LowBeta_6 numeric
@attribute HighBeta_6 numeric
@attribute Gamma_6 numeric
@attribute Theta_7 numeric
@attribute Alpha_7 numeric
@attribute LowBeta_7 numeric
@attribute HighBeta_7 numeric
@attribute Gamma_7 numeric
@attribute Theta_8 numeric
@attribute Alpha_8 numeric
@attribute LowBeta_8 numeric
@attribute HighBeta_8 numeric
@attribute Gamma_8 numeric
@attribute Theta_9 numeric
@attribute Alpha_9 numeric
@attribute LowBeta_9 numeric
@attribute HighBeta_9 numeric
@attribute Gamma_9 numeric
@attribute Theta_10 numeric
@attribute Alpha_10 numeric
@attribute LowBeta_10 numeric
@attribute HighBeta_10 numeric
@attribute Gamma_10 numeric
@attribute Theta_11 numeric
@attribute Alpha_11 numeric
@attribute LowBeta_11 numeric
@attribute HighBeta_11 numeric
@attribute Gamma_11 numeric
@attribute Theta_12 numeric
@attribute Alpha_12 numeric
@attribute LowBeta_12 numeric
@attribute HighBeta_12 numeric
@attribute Gamma_12 numeric
@attribute Theta_13 numeric
@attribute Alpha_13 numeric
@attribute LowBeta_13 numeric
@attribute HighBeta_13 numeric
@attribute Gamma_13 numeric
@attribute Theta_14 numeric
@attribute Alpha_14 numeric
@attribute LowBeta_14 numeric
@attribute HighBeta_14 numeric
@attribute Gamma_14 numeric
@attribute Theta_15 numeric
@attribute Alpha_15 numeric
@attribute LowBeta_15 numeric
@attribute HighBeta_15 numeric
@attribute Gamma_15 numeric
@attribute Theta_16 numeric
@attribute Alpha_16 numeric
@attribute LowBeta_16 numeric
@attribute HighBeta_16 numeric
@attribute Gamma_16 numeric
@attribute Theta_17 numeric
@attribute Alpha_17 numeric
@attribute LowBeta_17 numeric
@attribute HighBeta_17 numeric
@attribute Gamma_17 numeric
@attribute Theta_18 numeric
@attribute Alpha_18 numeric
@attribute LowBeta_18 numeric
@attribute HighBeta_18 numeric
@attribute Gamma_18 numeric
@attribute Theta_19 numeric
@attribute Alpha_19 numeric
@attribute LowBeta_19 numeric
@attribute HighBeta_19 numeric
@attribute Gamma_19 numeric
@attribute Theta_20 numeric
@attribute Alpha_20 numeric
@attribute LowBeta_20 numeric
@attribute HighBeta_20 numeric
@attribute Gamma_20 numeric
@attribute Theta_21 numeric
@attribute Alpha_21 numeric
@attribute LowBeta_21 numeric
@attribute HighBeta_21 numeric
@attribute Gamma_21 numeric
@attribute Theta_22 numeric
@attribute Alpha_22 numeric
@attribute LowBeta_22 numeric
@attribute HighBeta_22 numeric
@attribute Gamma_22 numeric
@attribute Theta_23 numeric
@attribute Alpha_23 numeric
@attribute LowBeta_23 numeric
@attribute HighBeta_23 numeric
@attribute Gamma_23 numeric
@attribute Theta_24 numeric
@attribute Alpha_24 numeric
@attribute LowBeta_24 numeric
@attribute HighBeta_24 numeric
@attribute Gamma_24 numeric
@attribute Theta_25 numeric
@attribute Alpha_25 numeric
@attribute LowBeta_25 numeric
@attribute HighBeta_25 numeric
@attribute Gamma_25 numeric
@attribute Theta_26 numeric
@attribute Alpha_26 numeric
@attribute LowBeta_26 numeric
@attribute HighBeta_26 numeric
@attribute Gamma_26 numeric
@attribute Theta_27 numeric
@attribute Alpha_27 numeric
@attribute LowBeta_27 numeric
@attribute HighBeta_27 numeric
@attribute Gamma_27 numeric
@attribute Theta_28 numeric
@attribute Alpha_28 numeric
@attribute LowBeta_28 numeric
@attribute HighBeta_28 numeric
@attribute Gamma_28 numeric
@attribute Theta_29 numeric
@attribute Alpha_29 numeric
@attribute LowBeta_29 numeric
@attribute HighBeta_29 numeric
@attribute Gamma_29 numeric
@attribute Theta_30 numeric
@attribute Alpha_30 numeric
@attribute LowBeta_30 numeric
@attribute HighBeta_30 numeric
@attribute Gamma_30 numeric
@attribute Theta_31 numeric
@attribute Alpha_31 numeric
@attribute LowBeta_31 numeric
@attribute HighBeta_31 numeric
@attribute Gamma_31 numeric
@attribute Theta_32 numeric
@attribute Alpha_32 numeric
@attribute LowBeta_32 numeric
@attribute HighBeta_32 numeric
@attribute Gamma_32 numeric
@attribute class {-1,1}

@data
1271.9,934.64,831.36,831.86,698.17,2832.1,1102.4,742.79,727.26,618.29,1352.8,846.26,636.69,564.12,476.61,2262.7,1141,732.32,640.57,627.46,787.08,672.73,587.32,527.63,516.59,1810.5,812.35,435.42,354.85,281.33,1496.8,764.88,424.25,390.92,341.11,3963.1,1679.3,841.7,768.82,748.79,1372.8,603.15,373.14,360.83,282.02,1527.9,687.59,364.25,308.58,244.82,1997.5,780.88,400.22,336.94,269.22,1350.7,581.73,348.12,313.61,252.92,765.34,538.49,297,217.26,166.24,2997.3,1165.3,570.6,476.67,437.76,1219.3,669.41,331.33,285.09,234.76,2490.3,903.33,435.73,381.76,320.27,2340.5,1076,529.64,467.42,422.86,1297.2,618.38,340.42,250.46,208.01,1009.6,655.37,341.9,223.06,150.07,1667.3,714.68,382.83,302.33,234.67,1986.8,811.75,449.25,453.96,411.04,1100.5,576.42,420.05,453.3,412.84,1994.5,759.8,397.94,341.5,259.49,2762.6,1002.2,530.87,491.62,387.5,2737.7,888.99,456.35,499.22,397.38,1135.7,722.18,450.1,437.11,435.99,2579.1,821.68,409.5,483.74,368.67,911.26,504.48,291.15,242.7,164.76,1502.8,850.18,382.89,292.61,247.35,3036.3,945.4,467.67,518.02,411.31,2362.7,1032.4,468.78,385.54,334.55,3681.9,1149.2,548.91,535.2,439.97,1
1434.3,753.75,630.01,608.71,540.42,3743.7,1000.3,537.89,545.64,414.34,1351.3,664.13,446.19,371.21,300.84,3413.8,911.7,477.59,378.38,332.43,808.45,499.36,359.69,285.94,251.15,1984.5,719.26,342.52,253.48,178.83,2382,682.31,319.93,225.08,178.77,4082.8,1316.9,610.48,480.44,421.01,2291.1,635.79,277.58,206.76,159.7,2477.9,658.21,300.62,216.58,173.98,2938,779.26,319.45,225.96,181.5,2322.9,613.53,299.85,222.81,184.69,1015.5,527.65,269.1,177.93,145.16,3135.8,1029,461.23,346.71,302.25,1322.3,596.3,325.2,225.03,205.4,3616,878.37,347.59,265.43,213.91,2560.8,917.65,460.77,342.5,335.41,1794.9,611.27,295.16,204.15,169.93,1008,582.11,286.45,191.91,122.01,2048.1,653.67,344.04,219.88,173.82,2943.4,737.45,343.61,285.16,265.44,1868.1,556.96,282.87,243.67,211.75,2879.7,698.16,328.73,231.5,184.23,3697.1,882.58,396.93,351.24,261.76,4098.5,907.05,358.45,267.69,233.38,1508.3,637.75,307.69,257.11,208.5,4552.3,904.68,324.01,248.26,224.3,910.22,447.3,244.79,179.15,127.77,1670.5,683.73,321.3,233.27,181.8,5648.5,1099.1,388.15,293.87,279.66,2510.2,890.32,395.66,296.98,239.16,5379.5,1245.8,478.14,372.05,320.68,1
1105.8,876.72,739.34,834.86,661.73,3311.3,1178.9,671.22,594.06,524.64,1452.5,873.18,545.39,510.79,410.99,2288.4,1126.7,751.29,615.99,551.22,931.14,731.67,639.08,675.55,595.03,2119.3,901.3,431.84,323.93,230.67,1548.6,839.09,440.23,337.19,294.22,4515.9,1842,838.53,564.44,528.99,1549.7,723.4,386.41,264.15,235.56,1557.3,789.16,363.61,250.83,182.37,2411.9,933.65,387.28,241.86,195.58,1521,670.87,341.47,247.1,199.17,874.14,653.1,305.85,206.88,156.27,3431.5,1318.6,587.47,412.09,357.82,1248.5,730.41,361.89,273.97,241.16,3077.8,1046.9,396.18,270.26,222.91,2354.1,1194.6,547.94,421.39,371.52,1521.1,717.89,350.28,260.95,205.99,1060,698.86,335.87,219.8,140.05,1975.9,846.15,386.95,260.85,195.37,2048.4,907.13,454.59,367.51,334.46,1196.1,619.47,329.73,240.04,212.84,2484.3,879.63,384.57,267.06,196.65,3425.2,1146.4,496.76,380.03,293.11,3400.1,1023.3,418.26,275.37,238.17,1311.9,707.4,355.36,264.1,206.1,3166.7,931.4,352.73,252.71,207.39,992.11,562.3,306.58,198.81,146.54,1553.6,905.44,409.8,260.85,211.24,3545.8,1033.5,422.27,294.98,262.51,2711.1,1160.7,485.13,315.37,278.31,4411.4,1337.1,519.6,364.15,303.86,1
1730.7,906.2,869.83,899.12,871.04,5220.5,1438.5,914.13,1005,887.55,1535.4,884.24,866.46,868.82,695.38,3432.4,1505.3,1686.5,2057.7,1944.9,1349.1,1294.8,1243.7,1355.5,1527.9,2849.6,926.88,567.07,586.64,516.66,2398.8,1092.7,1046.8,1314.7,1326.7,5549.3,1993.5,1499.2,1300.8,1549.6,2764.1,1216.9,1183.6,1671.8,1625.8,2467.3,804.31,433.7,466.23,401.11,4022.4,1019.7,592.31,678.88,652.86,2664.4,909.56,708.19,771.52,773.74,1265.3,521.3,349.86,357.91,297.9,4485.1,1329.7,728.39,767.31,667.58,1226.1,684.45,478.33,451.14,495.57,4958.5,1125.6,498.02,479.54,432.05,2318.7,1105.6,702.15,743.65,672.61,2426.3,788.92,526.86,569.34,585.28,1372.7,620.17,359.35,291.21,260.25,2820.9,858.98,608.99,470.58,564.95,3045.1,1282.2,1156.6,1242.5,1331.9,2183.4,1104.2,1312.8,1211.1,1271.3,3915.6,911.34,463.7,391.26,385.72,5235.3,1205.8,611.72,630.37,574.49,5649.7,1326.9,777,775.44,747.26,1983.3,895.69,763.76,793.08,816.85,5722.8,1272.9,565.52,619.27,611.9,1253.7,551.34,341.76,332.64,337.31,1492.5,823.47,446.58,454.62,395.12,6523.1,1471.1,530.45,555.23,534.22,3469.6,1120.5,564.17,601.98,515.4,7241.5,1639.3,656.36,657.32,590.18,1
944.09,795.32,591.48,582.39,509.06,2968.1,1109.7,578.5,572.03,475.27,1534,789.35,476.79,419.01,349.68,2363.2,1036.2,686.58,628.92,638.45,732.99,614.6,606.13,539.41,535.3,2096.1,879.26,427.91,376.11,332.63,1539.4,751.05,423.78,369.05,353.15,4918.9,1862.6,1036.9,1099.8,1067.5,1198.9,654.95,340.13,302.26,278.91,1533.6,679.72,397.52,343.51,325.14,2141.1,839.4,386.74,342.27,304.24,1207.4,616.37,369.17,341.76,314.76,788.78,548.6,291.66,235.44,189.11,3557.4,1294.9,599.23,600.29,569.6,1351.2,673.36,382.01,349.43,314.42,2713.8,966.79,440.31,409.78,378.55,2877.8,1089.1,587.58,581.33,560.54,1396,663.63,341.86,284.11,262.15,1058.2,666.65,331.16,241.55,172.53,1901.2,775.97,410.53,351.05,319.63,2146,861.67,575.94,638.17,602.39,1067.7,652.01,605.72,680.1,683.19,2176.5,825.11,393.23,364.76,311.25,3242.4,1115.9,543.2,550.18,474.91,2986.1,985.4,500.39,516.14,513.68,1249.1,833.54,625.98,641.47,606.63,2544.9,885.76,437.24,453.98,436.64,1114.7,523.95,308.97,249.54,218.1,1785.5,889.42,413.64,375.74,340.25,2748.8,958.03,491.09,472.98,462.17,2820.5,1138,512.88,484.75,454.2,3733,1279.4,561.59,538.58,507.66,1
1624.2,1038.2,1171.2,1421.5,1258.2,3937.2,1357.4,973.75,928.54,897.29,1670.3,1055,1049.7,1005.9,925.64,3184.5,1465.6,1335.4,1250.8,1283.8,1133.4,1151,1258.7,1410.2,1089,2357.8,965.57,613.76,460.75,466.45,2124.9,1021.4,867.29,744.94,835.18,4730.2,1984.2,1137.8,929.3,1014.6,2044.5,791.41,606.46,679.26,665.02,2176.8,819.98,420.14,307.85,315.56,2952.6,895.79,439.56,359.34,349.71,1986.1,720.28,454.07,399.52,397.67,960.6,600.23,334.37,247.85,222.12,3688.8,1386.5,679.84,522.3,515.89,1397.9,817.1,472.27,365.45,325.33,3628.3,1045.4,467.42,352.4,336.18,2700.9,1289.5,692.18,555.88,564.87,1877.8,725.59,406.27,408.24,401.49,1195.7,695.65,378.03,269.51,213.39,2193.3,849.16,463.05,402.33,413.03,2659.6,1177.3,707.41,626.46,636.49,1735.2,733.79,496.24,578.93,602.12,2830.8,886.43,433.28,332.22,305.95,3858,1171,598.68,495.76,445.62,4093.1,1090,560.33,467.17,417.17,1577.1,745.42,479.34,391.15,378.57,4130.7,984.59,455.27,383.44,381.45,1073.8,593.63,363.76,263.49,207.2,1663.4,916.18,440.72,308.79,306.31,4847.5,1161.4,482.39,410.19,418.84,2896.1,1186.9,546.77,405.12,403.55,5349.9,1410.7,600.67,491.22,477.61,-1
1133.7,804.8,757.89,765.58,614.22,3158.3,1186.6,706.22,631.82,562.52,1473,843.52,549.16,489.05,454.41,2911.1,1276.4,677.37,645.28,572.19,872.03,680.69,551.3,533.67,644.52,1992.6,886.5,411.11,297.65,255.16,2052.9,898.76,419.62,317.5,370.78,4620.3,1963,837.85,655.16,586.89,1657.1,613.34,354.78,279.29,264.34,2030.8,785.43,366.05,245.05,201.81,2352.3,801.11,358.76,242.07,197.61,1700,568.46,320.38,258.45,233.18,897.02,480.73,279.29,197.93,162.36,3378.4,1361.1,556.39,398.18,364.15,1397.1,716.78,358.27,269.2,239.05,2932.1,943.92,386.24,270.42,220.46,2882.6,1269,557.29,384.45,354.98,1499.8,621.65,326.88,229.53,203.26,998.3,606.42,323.33,215.64,142.17,1892.9,783.74,383.05,240.03,190.54,2645.6,995.77,433.34,353.94,346.02,1461.4,591.83,355.59,301.06,247.58,2385,798.52,390.46,254.54,192.36,3316,1104.5,498.86,356,272.72,3332.8,992.92,386.47,264.92,241.8,1191.6,686.81,380.6,306,290.08,3373.1,894.81,359.98,250.85,219.91,1044.4,547.42,286.21,189.6,151.76,1792.9,947.2,386.1,259.95,208.86,4127.1,1089.7,451.91,294.53,274.7,2674.1,1179.8,459.13,322.98,269.86,4265.8,1286.2,493,367.81,319.53,1
1487.8,951.99,916.76,931.91,853.25,3837,1467,882.41,837.6,786.09,1870.7,1098.4,862.71,920.86,858.99,3516.8,1959.4,1680,1721.3,1801.7,1631.1,1324.2,1558.3,1402.1,1500.3,2418.2,1084.7,620.26,521.78,514.35,2433.2,1250.6,1048.6,997.71,927.62,5420.6,2492.9,1236.8,1092.9,1082.5,1918.7,932.02,805.73,907.34,747.79,2314.1,961.18,445.62,352.25,328.84,2747.5,976.15,527.89,432.54,400.4,1879.6,749.27,489.4,441.65,424.64,934.14,553.61,314.04,258.29,233.82,4012.9,1651.5,806.64,615.17,623.39,1647.8,874.11,506.91,418.31,430.75,3451.3,1197.8,510.19,369.48,360.8,3233.8,1528.1,717.27,603.57,592.6,1781.2,816.88,581.68,475.07,475.32,1188.4,707.79,356.61,255.95,217.7,2240.9,963.11,510.6,422.48,403.98,3163.7,1550.1,1116.4,1159.2,1020.2,1789.6,1168,1035.8,901.36,998.96,2769.1,999.65,422.47,327.37,296.01,3900.1,1420.2,636.94,536.24,498.35,3814.9,1220.1,675.12,515.32,523.55,1460.6,868.22,539.05,515.59,453.16,3693.2,1148.4,485.7,429.54,369.95,1179.3,587.4,349.39,276.2,267.64,2105,1139.7,496.06,391.01,368.65,4557.5,1442.8,542.49,462.48,377.05,3197.3,1443.7,624.5,476.87,469.72,5011.1,1578.3,659.24,475.67,471.16,1
1222.3,753.8,664.6,684.3,571.76,3239.5,1023.1,555.36,559.13,460.05,1370.5,744.41,480.1,413.76,350.74,2726.3,1119,617.92,575.86,492.61,879.81,591.77,567.46,468.81,466.95,1942.3,784.05,396.41,283.57,222.15,1858.5,750.74,407.52,317.06,327.02,4171.8,1601.3,721.28,571.63,531.48,1649.2,625.63,346.05,267.38,252.51,1921.5,699.7,324.82,249.08,189.71,2426.3,745.86,355.31,256.69,212,1623.1,602.96,327.85,280.98,250.05,805.93,515.71,274.66,209.1,174.67,3233,1196,554.21,420.93,360.66,1258.3,654.39,341.9,264.96,234.44,3019.9,875.58,391,293.56,251.4,2519.7,1060.5,514.64,400.65,355.78,1549,602.2,355.21,270.17,197.97,1001.8,597.42,305.82,200.28,126.95,1785.6,714.22,391.75,293.51,238.9,2416,920.78,526.15,383.75,422.01,1446.9,587.36,522.73,484.31,286.84,2350.8,732.18,366.37,267.03,230.18,3253.6,976.21,460.74,369.16,307.3,3356.4,876.13,434.65,341.07,296.94,1225.3,662.8,343.95,288.35,239.91,3334.7,856.32,354.91,313.79,305.41,949.22,479.79,289.74,199.42,146.32,1597.4,815.39,359.32,254.16,187.32,4046,1029.7,433.33,358.54,361.61,2547.9,1018.5,437.3,314.31,249.54,4355.7,1175.8,511.31,410.47,359.96,1
1459.2,939.19,910.75,898.06,758.76,3767.4,1070.9,766.55,775.24,671.04,1290.2,829.62,644.13,570.98,448.02,2452.6,1052.6,734.57,596.03,545.34,727.74,651.52,528.87,438.96,386.02,2188.1,802.24,429.21,326.55,260.24,1778.8,707.69,395.25,292.46,243.15,4184.6,1516.4,778.87,708.35,651.94,1986.4,635.98,360.65,325.2,292.15,1869.2,674.96,340.7,263.61,209.84,2908.4,809.41,375.48,313.79,281.14,1941,651.63,354.81,313.29,288.53,987.93,614.97,290.01,213.2,180.91,3351.4,1092.3,514.21,432.21,382.86,1069.6,661.01,326.11,230.76,188.01,3552.3,901.12,420.41,389.69,347.04,2058.7,942.37,494.6,435.7,381.8,1794.4,639.23,331.41,279.51,227.86,1234.7,670.32,320.39,214.24,144.22,2086,728.23,394.32,327.36,269.75,2138.1,752.95,410.13,352.9,325.67,1501.2,588.16,361.41,295.94,276.06,2806.4,772.57,417.4,362.81,298,3729.9,960,544.72,470.4,397.7,4037.4,936.45,472.4,443.18,430.08,1546.7,644.06,367.95,319.64,285.62,4060.7,919.11,466.92,449.67,443.2,1034.8,531.53,303.3,215.79,166.81,1316.3,799.4,394.21,252.68,202.77,4678.8,1067.2,548.41,524.56,511.19,2620.1,970.96,452.42,347.7,299.55,5261,1202.5,552.87,546.92,501.03,-1
1294.9,939.8,915.23,898.55,816.64,3669.2,1103.7,676.49,609.1,563.43,1535.6,870.87,627.55,551.96,437.82,3354.6,1145.9,573.28,449.24,397.47,826.53,573.88,431.01,359.49,309.91,2271.8,844.44,395.32,266.33,178.14,2312.2,762.29,359.55,223.28,169.77,4800.8,1739.1,745.69,554.21,499.9,1944.5,607.69,294.48,207.75,167.51,2390.3,728.53,335.36,197.41,156.44,2868.3,831.93,338.18,203.68,148.57,1990.5,664.84,326.4,234.13,194.84,923.96,633.82,298.88,190.88,143.51,3746.7,1305.9,495.06,339.35,270.09,1472.3,720.73,353.4,237.79,190.46,3500.2,939.62,383.23,218.6,165.6,2862.5,1118.4,526.73,362.46,343.88,1832.9,679.82,343.8,252.53,184.21,1177.6,657.81,329.45,215.04,130.23,2020.8,716.86,386.32,266.55,187.36,2973.6,945.37,375.56,265.93,223.77,1828.1,590.56,312.79,203.41,159.18,2668.3,725.36,353.77,237.07,159.47,3732.3,965.44,431.98,307.14,211.73,4025.6,929.88,359.87,195.21,151.26,1399.4,620.5,306.76,213.19,155.5,4109.6,846.28,312.26,207.7,158.09,1139.5,521.81,292.75,167.88,119.49,1887.6,883.11,381.01,234.44,164.17,5026.9,1064.6,391.11,255.89,200.47,2928.4,1099.3,434.73,269.09,197.28,5134.8,1243.9,474.02,311.28,235.86,-1
1392.3,905.07,1031.2,925.18,955.76,3224.7,1079.2,887.16,854.91,785.91,1384.8,866.24,820.83,818.54,710.31,2554,1348.4,1011.7,1094.1,1109.3,1247.2,829.37,1045.3,1175.3,901.86,1931.3,800.69,502.08,433.9,392.48,1700,790.69,712.54,647.72,714.94,4098.9,1510,885.65,871.89,824.62,1688.2,660.04,657.02,617.82,564.07,1781,605.01,381.3,301.43,273.57,2381,715.07,415.62,355.68,330.46,1661.2,559.47,400.88,410.55,330.04,841.43,465.66,303.75,237.96,200.5,3136.3,1051,543.29,506.69,446.42,1165.3,595.67,415.36,351.59,309.01,2975.3,787.89,418.84,361.59,331.99,2312.3,986.29,582.67,505.88,490.56,1481.8,604.63,400.39,357.97,328.38,1019.5,614.19,331.18,240.6,167.27,1800.2,695.99,439.78,335.52,302.47,2234.7,842.17,642.88,583.61,567.77,1359.2,541.93,402.95,353.88,366.09,2343.5,726.21,423.83,336.1,293.47,3239.1,920.35,546.35,487.4,431.87,3311.2,839.73,477.13,465.27,424.21,1259.8,613.01,412.74,351.27,313.9,3292,804.3,436.42,429.9,395.95,948.82,440.62,299.96,254.8,196.28,1453.4,715.54,374.42,299.11,247.86,3890.2,921.81,502.12,480.98,441.08,2450.9,893.52,454.58,389.55,340.27,4307.9,1046.3,543.07,502.26,458.63,-1
2514.6,829.17,641.92,626.45,556.85,2591.1,907.23,556.64,507.34,449.32,1198.4,696.92,445.2,358.84,285.72,2051.4,975.76,559.75,464.39,409.64,591.14,439.19,374.06,264.5,237.99,1711,748.88,369.11,272.13,210.76,1360.6,661.91,328.61,235.83,176.51,3807.4,1529,646.78,486.14,438.25,1222.2,509.35,282.35,243.22,214.67,1367.8,619.4,320.8,236.89,179.56,1956.1,676.08,324.92,263.23,224.78,1174.9,481.51,303.21,261.94,234.82,679.69,429.8,244.89,189.94,152.25,2828.4,1072.1,462.47,342.88,312.56,1100.7,581.66,293.44,203.92,167.18,2481.6,822.82,378.44,308.51,275.02,2157.4,1008.1,470.95,371.44,343.54,1221.7,515.94,286.25,216.76,175.02,867.41,527.51,290.88,197.17,124.57,1638.9,647.4,341.02,250.1,209.52,1725.7,755.11,330.28,285.65,246.89,1027,487.3,284.77,210.18,169.97,1976.7,678.19,352.19,283.91,241.4,2809.8,917.67,437.08,390.71,315.43,2697.9,817.97,396.65,365.95,328.01,1110.9,557.44,295.22,213.83,174.14,2529.9,770.06,366.04,371.42,324.79,850.88,454.12,245.93,188.42,143.15,1378.6,762.02,326.84,223.74,170.03,2888.3,888.89,436.63,425.17,382.21,2264.4,944.28,396.33,276.48,245.2,3518.3,1090.5,474.2,409.69,388.35,-1
1224.6,681.15,669.58,591.56,537.5,2947.2,914.47,588.17,515.26,433.91,1071.1,638.88,472.58,384.19,292.62,2173.4,918.71,562.61,440.06,377.81,681.24,476.37,369.28,281.23,234.81,1652.2,660.64,381.41,258.19,209.48,1550.2,636.64,317.67,209.66,181.83,3194.2,1304.7,685.67,580.21,508.43,1602.2,549.44,278.12,223.4,187.3,1638.2,613.47,318.43,208.05,175.12,2202.5,716.54,326.63,228.25,189.43,1593.1,562.08,308.5,261.59,208.03,781.27,512.69,275.22,187.16,151.24,2569.4,977.09,519.82,412.45,353.37,1035.3,578.96,342.07,241.87,212.32,2732.1,808.72,368.06,273.31,236.21,1797.1,848.01,489.81,389.98,358.02,1388.7,564.08,287.95,202,162.98,938.4,541.05,300.48,181.31,128.67,1594.5,615.32,350.07,259.46,194.85,1913.9,727.06,373.67,327.12,277.2,1258.3,530.08,305.7,268.46,219.27,2176.8,666.32,348.33,275.25,206.85,2879.1,848.76,445.12,377.63,294.11,3024.7,803.03,365.81,311.87,269.46,1201.7,592.99,323.57,236.49,233.46,3172.6,798.74,311.77,294.78,245.44,789.6,429.69,259.67,187,140.75,1119.1,690.98,337.94,242.95,195.58,3801.9,951.73,389.13,335.41,284.84,2007.2,851.23,415.63,308.34,270.45,4039.3,1038.6,481.99,379.17,342.84,1
1290.8,761.02,653.59,619.63,563.19,3217.6,1161.4,753.41,640.02,687.98,1252.7,843.75,683.01,623.34,628.5,2478.3,1435.1,1377,1367.2,1241.6,1145.3,1124.7,1105.3,1247,1333,1828.1,843.84,524.25,549.22,453.05,1702.1,956.83,793.02,767.57,682.04,3681,1817.4,1398.4,1488,1387.3,1678.8,870.7,731.69,800.89,744.77,1680,748.43,465.49,457.34,417.68,2441.4,829.97,486.08,478.29,440.58,1612.8,681.14,449.83,497.64,446.76,846.29,524.26,328.35,284.87,247.08,2920.7,1189.9,742.16,777.58,762.7,1075.1,692.09,479.3,464.37,458.92,2998.9,945.12,508.64,477.56,462.97,1942.6,1052.2,672.26,691.63,662.82,1526.8,690.6,411.6,386.7,370.86,977.64,640.35,343.66,289.04,222.18,1839.9,775.87,447.39,392.25,358.73,2053.7,961.2,738.8,857.92,837.83,1379.9,724.2,696.4,857.24,799.7,2335.6,762.19,431.45,382.21,354.92,3168.4,986.81,636,633.18,607.55,3367,1004.3,553.29,648.1,673.44,1359.7,848.98,771.27,773.1,797.56,3425.4,969.82,507.88,544.61,560.96,867.82,521.98,337.22,312.04,314.35,1293.8,831.69,507.04,467.6,444.14,3995,1158.6,549.87,536.3,541.52,2271,1057.5,613.31,592.77,593.9,4384.2,1308.1,628.46,609.71,630.09,1
1338.3,600.55,389.27,366.52,326.04,3625.3,1078.3,413.72,326.44,261.81,1332.1,673.08,330.87,224.55,174.12,2838.1,1060.9,479.71,392.96,325.78,767.45,570.86,439.52,355.75,371.31,2066.1,770.29,345.93,238.12,180.46,2015.4,807.52,344.57,240.87,203.84,4166.3,1573.4,645.3,462.4,380.4,1894.9,703.11,307.02,253.8,205.85,2083,748.6,314.63,215.54,150.51,2702.9,843.28,340.21,258.91,192.23,1900.8,650.02,318.8,270.1,218.51,877.27,510.87,270.17,208.13,164.81,3336.4,1132.7,501.2,377.26,331.93,1232.8,673.59,336.82,244.76,215.1,3348.3,945.41,364.35,289.81,225.65,2363.6,1042.2,495.04,347.13,310.02,1692.9,614.25,305.25,225.03,174.93,1051.3,553.16,285.42,180.1,121.2,1936.6,726.52,335.2,239.39,192.47,2538.8,853.37,368.02,306.04,293.6,1558,581.66,294.43,236.55,207.73,2586,810.06,323.58,263.19,200.08,3510.7,1048.4,392.61,358.15,264.95,3744.3,1013.4,373.01,327.36,260.09,1343,607.14,294.96,211.64,159.79,3852.4,1028.7,345.66,333.6,258.33,948.57,475.73,251.02,174.56,129.24,1508.2,783.59,327.7,214.79,162.06,4650.6,1238.7,428.58,399.41,304.46,2604,1003.3,402.08,272.35,218.28,4972.2,1352.3,502.43,404.91,335.04,1
1218.1,991.47,1073,1113.3,921.97,3229.2,1148,967.63,845.81,790.67,1472.1,868.76,827.63,765.95,584.2,2339.5,1210.9,981.04,871.48,799.72,1259,838.17,749.87,883.67,717.14,1990.1,772.12,484.49,417.45,318.44,1544.6,757.76,656.07,567.7,510.73,4233.4,1471.5,819.37,708.31,756.98,1541.6,595.04,536.63,442.94,420.93,1573.8,634.91,385.87,281.81,239.29,2353.6,747.44,430.83,285.34,298.45,1477,597.94,401.28,315,290.57,827.42,553,312.06,220.49,176.77,3255.6,1104.5,582.92,410.07,462.37,1116.4,699.58,387.75,277.12,232.26,2963.4,882.34,420.06,321.42,317.89,2275,919.13,546.38,442.84,459.43,1506.3,620.75,415.84,293.08,325.47,1036.6,594.83,342.89,241.07,162.81,1870.8,688.62,431.22,332.14,345.18,2021,1004.7,711.35,698,755.2,1389.7,801.69,662.19,523.69,976.91,2387.9,722.95,408.78,314.89,269.95,3299.1,897.44,513.28,428.64,389.6,3321.4,902.87,539.66,391.59,514.49,1258.2,669.35,388.12,330.4,352.05,3178.1,851.05,502.4,398.02,386.53,966.97,499.86,318.64,234.41,195.67,1495.3,736.63,395.71,276.84,249.57,3579.6,1005.8,522.86,446.91,385.03,2556.1,966.41,483.84,339.31,348.28,4250.1,1216.1,544.25,423.5,425.82,1
