@Theta_1,Alpha_1,LowBeta_1,HighBeta_1,Gamma_1,Theta_2,Alpha_2,LowBeta_2,HighBeta_2,Gamma_2,Theta_3,Alpha_3,LowBeta_3,HighBeta_3,Gamma_3,Theta_4,Alpha_4,LowBeta_4,HighBeta_4,Gamma_4,Theta_5,Alpha_5,LowBeta_5,HighBeta_5,Gamma_5,Theta_6,Alpha_6,LowBeta_6,HighBeta_6,Gamma_6,Theta_7,Alpha_7,LowBeta_7,HighBeta_7,Gamma_7,Theta_8,Alpha_8,LowBeta_8,HighBeta_8,Gamma_8,Theta_9,Alpha_9,LowBeta_9,HighBeta_9,Gamma_9,Theta_10,Alpha_10,LowBeta_10,HighBeta_10,Gamma_10,Theta_11,Alpha_11,LowBeta_11,HighBeta_11,Gamma_11,Theta_12,Alpha_12,LowBeta_12,HighBeta_12,Gamma_12,Theta_13,Alpha_13,LowBeta_13,HighBeta_13,Gamma_13,Theta_14,Alpha_14,LowBeta_14,HighBeta_14,Gamma_14,Theta_15,Alpha_15,LowBeta_15,HighBeta_15,Gamma_15,Theta_16,Alpha_16,LowBeta_16,HighBeta_16,Gamma_16,Theta_17,Alpha_17,LowBeta_17,HighBeta_17,Gamma_17,Theta_18,Alpha_18,LowBeta_18,HighBeta_18,Gamma_18,Theta_19,Alpha_19,LowBeta_19,HighBeta_19,Gamma_19,Theta_20,Alpha_20,LowBeta_20,HighBeta_20,Gamma_20,Theta_21,Alpha_21,LowBeta_21,HighBeta_21,Gamma_21,Theta_22,Alpha_22,LowBeta_22,HighBeta_22,Gamma_22,Theta_23,Alpha_23,LowBeta_23,HighBeta_23,Gamma_23,Theta_24,Alpha_24,LowBeta_24,HighBeta_24,Gamma_24,Theta_25,Alpha_25,LowBeta_25,HighBeta_25,Gamma_25,Theta_26,Alpha_26,LowBeta_26,HighBeta_26,Gamma_26,Theta_27,Alpha_27,LowBeta_27,HighBeta_27,Gamma_27,Theta_28,Alpha_28,LowBeta_28,HighBeta_28,Gamma_28,Theta_29,Alpha_29,LowBeta_29,HighBeta_29,Gamma_29,Theta_30,Alpha_30,LowBeta_30,HighBeta_30,Gamma_30,Theta_31,Alpha_31,LowBeta_31,HighBeta_31,Gamma_31,Theta_32,Alpha_32,LowBeta_32,HighBeta_32,Gamma_32,class
4919.2,2156.4,1138.3,1329,807.46,6809,3069.7,1176.1,765.13,395.67,8924.6,3782.5,1295.3,590.73,241.18,37350,16948,5458.1,2778.1,865.09,10068,4397.3,1293.2,741.63,557.71,5862.1,2553.4,843.59,374.13,194.12,11601,5414.8,1704.6,1083.1,457.78,2160.4,1002.8,796.11,570.22,683.83,2576.5,1188,455.4,332.65,277.08,4892.6,2039.5,665.1,363.65,195.52,8551.7,3964.7,1261.2,716.69,341.8,11668,5467.4,1772.7,1026.3,475.71,6140,2832.2,909.95,535.91,232.7,16623,7689.6,2445.8,1405.2,600.46,15289,6957.3,2219.4,1270.2,547.66,3688.9,1622.3,528.31,318,138.65,6950.1,3246,1307.9,1309.8,808.62,2047.5,827.32,399.61,536.38,313.92,9593.2,4205.9,1345.9,782.91,349.33,11199,5110.8,1756.3,982.85,461.62,17406,8034.8,2571.6,1437.3,724.36,11122,5201.5,1624.5,971.97,527.38,7558.2,3543.4,1110,652.26,313.41,21245,9748.3,3116.9,1708.8,766.23,26594,12148,3885.2,2093.4,957.15,16693,7621.5,2448.4,1418.7,650.45,23661,10792,3469.8,1834.9,874.36,10643,4931.7,1581.2,862.2,419.87,2261.4,1044.1,343.64,251.06,100.24,12434,5732,1843.3,1064.4,438.95,12434,5743.1,1836.2,1057.9,439.82,15153,6973.3,2237.3,1272.9,552.8,-1
8377.2,2735.3,1291.6,1184.7,1073.5,10222,3777.3,1769.2,1309.9,1256,9259.4,4460.8,2133.8,1642,1677.1,41735,19564,9005.3,6807,7059.7,10138,4906.2,2330.9,1871.3,1848.5,6094.3,2920,1382,1060.6,1086.3,14035,6218.9,2863.4,2122.1,2190.9,4106.2,1390.4,1293.3,1192.1,1037.9,3824.6,1451,648.83,509.56,484.65,4796.1,2294.1,1074.2,862.63,862.4,10480,4591,2103.2,1562.4,1615.7,15289,6376.4,2919.7,2140.9,2205.5,6712.5,3195.6,1498,1134.5,1176.5,18940,8757.4,4060.4,3049.2,3196.3,16361,7856.2,3654.9,2801,2893.5,3774.6,1845.6,863.94,684.47,684.27,11072,3906.9,1740.9,1309.6,1270.3,1933.2,927.22,531.11,494.03,465.1,9702.6,4747.3,2200.5,1708.2,1745.7,12782,5919.9,2771.5,2064.6,2118.2,21907,9383.8,4265.5,3208.3,3316.7,14637,6055.3,2799.2,2051.8,2113.1,9809.8,4150.4,1854.8,1364.8,1420,24051,11150,5127.2,3864.3,3997.3,29494,13816,6369.5,4833.9,4995.8,18349,8703.2,4089.2,3102.1,3183.3,26491,12316,5686.8,4302.7,4450.8,13025,5705.7,2601.6,1915.3,2002.2,2509.5,1209.2,563.25,446.92,442.62,13890,6538,3000.2,2313.2,2356.7,14388,6617.7,3007.9,2297.6,2354.8,16945,7944.6,3656.2,2781.6,2890.4,-1
9869.8,2716.3,1372.1,1408.8,977.29,12956,3922.3,1623.9,1319.8,854.23,12375,4649.7,1913.9,1398.1,842.88,56624,20677,7950.4,5245.8,3519.2,13457,5138.1,2073.1,1292.7,1008,8109.4,3057.6,1197.9,796.88,547.88,18867,6630.6,2550,1675.7,1178,4411.8,1185,916.29,674.3,697.18,4796.7,1559.3,564.97,388.7,295.81,5959.5,2381.7,961.68,607.92,472.31,13928,4888.2,1848,1206,854.56,20133,6810,2542.4,1699.7,1193.3,9018.8,3382.6,1318.3,848.73,616.91,25574,9302.1,3585.8,2300.8,1654.2,22102,8319.2,3257.1,2081.3,1521.3,4895.4,1929.3,767.9,492.85,369.17,13665,4067.2,1701.9,1624.5,948.75,2166.5,988.9,681.48,566.87,489.14,12797,5004.3,1990.6,1226.7,927.9,17325,6196.9,2474.2,1610,1139.2,29114,9982.8,3736.7,2513.8,1726.1,19254,6440.4,2436,1653.9,1145.6,12945,4417.8,1664.7,1089.4,759.72,32620,11825,4586.7,2942.7,2092.2,39939,14642,5678.6,3636.6,2592.7,24874,9203.9,3591.4,2265.2,1654.6,35837,13044,5036.4,3261.7,2304.1,17478,6074.3,2320.1,1519.7,1057.1,3364.6,1303.8,525.8,340.93,257.49,18874,6940.4,2698.5,1727.2,1260.2,19480,7052.6,2702.9,1760.9,1250,22958,8449.7,3285.9,2130.8,1535.2,-1
7150.1,1845,1494.4,1470.3,1316.3,8099.8,2180,1605,1416.8,1248,6075.3,2606.9,1678.9,1487.1,1328.2,27254,10972,6862.9,5508.6,5239.9,6714.5,2863.4,1723.6,1452.1,1393.1,3963.7,1703.7,1075.6,914.52,860.07,9473.6,3430,2101.8,1653.5,1603.6,3660.4,967.38,743.72,857.64,860.28,2906.6,897.93,661.98,673.96,636.51,3230,1391.7,832.43,710.81,673.7,7036.2,2516.9,1621.7,1331.4,1253.6,10809,3503.9,2214.1,1816.7,1704.8,4332.6,1774,1112.8,898.86,866.86,12337,4856,3044.5,2393.6,2349.5,10690,4435.9,2730.3,2171,2117.5,2425.5,1068,646.88,538.77,504.28,8987,2324,1764.2,1554,1252.1,1578.8,669.52,778.2,676.71,675.16,6396.1,2754,1651.9,1295.6,1265.3,8384.6,3292.6,2047.3,1611.4,1537.4,15066,5097.5,3215.5,2621.4,2516.3,10369,3344.3,2253.2,1916.7,1761.7,6919.5,2275.2,1459.9,1182.6,1128.8,15829,6226.4,3884,3065.4,2955.4,19286,7795.8,4875.7,3895.2,3731.7,11987,4964.3,3092.7,2468.4,2387,17297,6935.6,4351.2,3456.9,3335,8857,3156.4,2014.5,1598.4,1532.2,1635.1,720.46,421.65,347.94,327.39,9166.2,3692.7,2255.3,1812.5,1723.4,9482.5,3656.6,2278.8,1824.1,1746.7,11099,4449,2751.8,2202.7,2126.2,-1
9058.9,2657.2,1904.8,1638.4,1676.7,12433,4025.3,2334.8,1864.8,2148.2,12768,5093.3,3066.5,2479.3,2861.1,56848,21593,12485,10210,11318,13917,5645.2,3246.6,2986.3,3231.5,8284.2,3322.8,1970.6,1619.4,1818.4,18701,6777.5,3759.4,3171.2,3505.7,3736.1,1305.8,1414.7,1650,1455.3,4638,1582.2,1096,1141,1149,6014.7,2557.3,1557,1329.5,1415.8,13884,5079.2,2909.9,2452.7,2653.9,19787,6931.9,3924.7,3228.8,3569.4,9128.6,3562.9,2047.9,1696.1,1872.7,25692,9728.4,5517.2,4564.7,5067.1,22414,8772.8,5034.5,4156.9,4606.6,5030.2,2029.8,1204.5,1005.5,1092.3,12643,3779.9,2374.3,1881.9,2085.5,2056.5,1154.9,1028.4,742.18,945.56,13124,5310.7,3088.4,2551.8,2817.3,17281,6455,3657.5,3012.6,3299.1,29024,10397,5842.7,4937.1,5470,19023,6622.7,3809.2,3240.9,3570.9,12770,4517.4,2581.3,2129.2,2358,32805,12397,7075.2,5821.1,6457.3,40405,15500,8892.9,7420.3,8173.6,25195,9679.7,5666.1,4866.8,5146.3,36170,13814,7860.5,6561,7225,17333,6271.4,3558.7,2955.5,3262.4,3396.9,1297.2,763.13,636.53,696.15,19043,7218.6,4165.4,3415.8,3799.2,19499,7322.3,4186.3,3398.1,3794.2,23154,8814.1,5057.7,4167.8,4623.2,-1
4156.7,2026.9,1433,1113.8,1112.1,6255,3025.2,1644.8,1056,1055.5,8646.6,3905.6,1996,1146.6,1096.2,36565,16955,8364.9,4517.1,4272,9591.4,4306.2,2079,1184.8,1167.9,5730,2559.7,1288.2,759.25,706.15,11133,5318.4,2572.1,1398.2,1259.8,1762.2,1004.8,827.98,995.19,839.79,2423,1225.7,769.53,749.93,645.68,4582.4,2041.2,1039.9,656.59,563.6,8322.6,3919.1,1959.3,1111.1,1031,11152,5314.8,2645.1,1465.8,1391.6,6028.4,2806.6,1384.6,777.99,716.16,16169,7573.3,3725.4,1986.3,1917.8,14863,6899.2,3363,1813,1720.3,3647.3,1633,811.61,480.63,413.24,6281.2,3089.2,1829,1178.3,1192.3,1784.5,865.72,684.3,507.1,494.59,9226.5,4216.1,2059.4,1110.7,1041.1,10902,5052.9,2451.8,1378.2,1217.1,16862,7915.3,3885.5,2113.6,2034.3,10642,5049.4,2501.6,1439.4,1419,7194.8,3487.1,1712.3,905.44,900.51,20616,9657.1,4701.6,2482.9,2377.9,25934,12014,5858.1,3149.1,2988.2,16177,7564.7,3664.5,1967.3,1935.7,23086,10668,5177.1,2785.8,2666.9,10205,4847.1,2365.6,1263.2,1223.9,2256.5,1074.8,537.82,312.21,266.53,12158,5675.8,2777.5,1502.1,1409.4,12138,5713.8,2785.5,1511.4,1407.6,14807,6923.1,3370.1,1828.5,1716.6,-1
6325.5,2070.6,1615.9,1435.2,1227.2,8757.8,3090.3,1723.8,1468,1268.8,9735,4124.3,2168,1503,1444.7,43186,17687,8899.3,6107.4,5858.2,10693,4519.4,2327.4,1579.7,1526.7,6356.7,2705.1,1369.8,931.47,924.6,13857,5518.8,2776.7,1972.7,1803.5,2764.8,966.32,1147.8,838.87,1025.4,3339.7,1214.4,633.87,532.66,521.58,4946.3,2117.6,1071.2,741.37,742.67,10288,4062.9,2030.8,1428.9,1362.5,14440,5549.3,2751,1998.3,1855.3,7037.2,2894.1,1437.7,1018.8,975.74,19349,7875,3942.3,2773,2633.7,17231,7186.7,3583.9,2507,2393.4,3997.5,1680.6,842.1,588.76,573.27,9077.4,3161.1,1899.2,1580.6,1419.4,1900,979.64,822.94,638.33,706.85,10324,4365,2172.7,1521.3,1444.7,12998,5273.5,2776,1857.4,1771,21180,8239.9,4126.5,2942.8,2765,13746,5273.4,2635.9,1926.1,1808.1,9319.4,3607.6,1783.3,1306.4,1210.5,24641,10061,5041,3499.4,3309.5,30524,12531,6277.6,4343.2,4131.7,19096,7904.7,3980.6,2739.8,2588.4,27230,11126,5608.6,3869.3,3680.7,12753,5051.3,2542.7,1801.6,1675.8,2652.3,1110.9,532.76,381.27,368.95,14390,5932.4,2954.1,2049.5,1938.1,14655,5933,2952.5,2063.2,1956.3,17540,7200.2,3592.7,2503,2384,-1
7211.7,1568.2,1253.7,1326.9,1218.3,8872.7,2077.1,1357.3,1219.3,1211.7,7586.1,2734.5,1711.3,1313.7,1285.7,35030,11516,6522.8,4973.3,5089.7,8286.5,3060.8,1671,1356.7,1410.6,4964,1824.9,1051.7,821.67,831.25,11844,3544.5,1966.7,1533.5,1554.9,3432.2,874.87,1049.5,851.06,1002.5,3241.9,816.19,520.27,537.4,544.85,3862.5,1477.5,803.54,622.84,626.19,8857.1,2597.4,1448.8,1152.8,1181.7,13056,3527.8,1963.5,1580.2,1615.4,5596.2,1916.6,1033.3,794.74,807.65,15872,5119.5,2799.6,2158,2214.1,13595,4746.7,2585.2,1935,1991,3093.6,1153.7,621.46,463.62,476.56,9435.4,2113,1427.1,1279.2,1236.9,1624.8,706.92,608.3,516.68,502.65,7983.5,2937.9,1576.2,1189,1203.4,10742,3453.1,1985.9,1527.6,1517.2,18557,5246.5,2940.1,2342.5,2399.1,12449,3371.9,1912.9,1533.9,1606.3,8345.3,2317.7,1272.1,1030.3,1061.6,20221,6548.9,3600.9,2794.5,2835.4,24618,8192.7,4493.5,3476.9,3539.3,15350,5180.5,2890.4,2213.5,2254.7,22086,7250.7,4007.1,3110.2,3152.4,11030,3260.8,1804.2,1430.8,1466,2114.5,749.05,410.51,318.68,308.61,11737,3887.8,2114.5,1644.5,1676.5,12166,3851,2113.3,1645,1668.3,14222,4719.8,2588.5,1960.5,2019.5,-1
8284.2,2513.1,1704.8,1569.7,1540.9,10219,3326.7,2289.9,1669.5,1982.7,8818.4,3947.6,2406.5,1959.6,2158,41215,17045,9482.7,7576,8529.4,9655.7,4229.8,2555.6,1978.3,2355.1,5758.9,2567.5,1494.6,1199,1365.7,13946,5441.3,2960.8,2344.9,2630.6,3965.7,1235.8,1630.4,1403,1399.7,3772.7,1282.1,758.32,656.2,721.44,4333.7,1964.4,1142.8,923.36,1056.9,10380,3998.4,2162.7,1753.5,1977.9,15365,5583.9,3044.4,2450.8,2705,6594.6,2757.1,1559.7,1263.5,1394.3,18749,7614,4146.6,3430.6,3765,16049,6787,3794.7,3087.2,3426,3519.4,1581.4,910.76,719.73,821.97,11062,3499,2053.1,1784.2,1850.3,1681.1,894.14,891.8,861.04,860.73,9376.2,4066,2294.7,1846.2,2092.8,12668,5141.6,2930.8,2265.5,2581.7,21660,8194.2,4387.6,3613.2,4026.6,14468,5295.8,2937.8,2443.4,2623,9801.9,3602.8,1919.9,1567.2,1736.4,23886,9699.1,5324,4283.2,4818.6,29067,12041,6665,5349,6034.6,18050,7546.3,4230.5,3578.8,3925.1,26079,10740,5946.3,4757,5377.1,12973,4961,2694.6,2175.7,2434.5,2448.5,1051.6,603.43,483.09,542.6,13780,5679.8,3183.5,2535.8,2856.1,14214,5736.7,3165.5,2530.8,2841.8,16767,6903,3820.2,3085.2,3444.8,-1
7276.4,2361.8,1397.2,1514.3,1268.6,8854,2979.7,1615.1,1324,1184.7,7361.3,3237.5,1805.7,1315.6,1173.6,34285,14500,6923.5,4786.9,4307.6,8079.7,3564.9,1840.4,1212,1138.4,4923.7,2139.5,1070.1,719.19,675.64,11629,4681,2182.5,1538.9,1341.6,3485.5,987.43,627.06,573.2,579.94,3282.5,1161.4,520.57,396.62,392.13,3717.5,1678.5,818.27,562.95,511.15,8678.4,3436.9,1593.6,1100.7,1008,12948,4869.8,2213.7,1526.2,1402.5,5474.4,2350.1,1125.6,776.84,702.45,15566,6508.2,3077.6,2116.2,1915.2,13289,5785.7,2812.9,1939.5,1733.9,3022.7,1347.5,651.56,456.73,401.09,9545.5,3157.3,1644.6,1317.7,1182.5,1622,795.71,742.43,630.53,609.91,7732.1,3472.4,1691.3,1162.5,1013.8,10490,4387.6,2096.3,1474.7,1300.9,18361,7078.6,3235.1,2254.3,2080.3,12370,4577.2,2131.7,1526.7,1401.6,8222.5,3146.3,1449.7,1019.5,917.15,19711,8252.1,3926.9,2703.8,2407.9,24125,10155,4875.9,3357.1,2998.9,14943,6418.3,3099.7,2175.9,1924.7,21701,9076.2,4326,2982.7,2676.8,10855,4289,2005.2,1388.7,1256.1,2071.1,926.71,443.84,324.22,282.46,11377,4855.8,2321.3,1621,1426.8,11861,4923,2320.2,1626.8,1439.1,13899,5899.4,2842.1,1996.9,1757.4,-1
5568.5,2285.9,1427,1406.8,1206.4,7821.1,3263.8,1771.3,1089.8,1112.3,10625,4416.4,2043.7,1272.3,1108.6,44606,18794,8500.5,4577.7,4423.1,11866,4849.9,2192.4,1255.4,1133.7,6996.9,2885.6,1310.8,764.51,712.13,13665,5864.9,2642.6,1383.2,1337.4,2583.2,971.14,822.9,631.18,697.75,2954.2,1210.1,583.08,339.68,375.76,5769.1,2283.4,1024.2,615.76,547.98,10041,4267.6,1950.1,1006.9,1017.8,13595,5769.8,2654.9,1394.6,1400.7,7362,3053.5,1389.4,722.68,708.33,19708,8350.3,3797.7,1952.8,1937,18345,7651.8,3447.1,1854.1,1761.3,4525.5,1774.2,811.19,469.17,420.54,8102.2,3373.3,1791.8,1370.4,1250.4,2257.6,906.11,641.77,569,448.68,11501,4671.2,2076.1,1140.2,1057.5,13276,5650.3,2636.1,1359.5,1291.4,20315,8688.4,3955.4,2069.3,2075.8,12916,5531.6,2535.1,1344.5,1410.7,8820,3778.1,1717.9,911.97,930.27,25213,10672,4811.4,2545.1,2456.1,31715,13354,5966.8,3191.6,3059.5,19980,8408.5,3773,2000.7,1921.9,28084,11849,5308.9,2848.6,2716.8,12420,5329.8,2430.3,1291.1,1270.5,2773.8,1151.8,537.84,305.82,277.79,14921,6299.3,2836.4,1523.4,1447.5,14849,6294.5,2838.1,1518.7,1457.3,18149,7659.1,3448.1,1866.7,1781.3,-1
3219.2,1046.9,1378.9,1228.6,1164.4,4232.6,1406.9,1151.7,1076.2,1112.8,4863.2,1703.7,1089.4,1072.3,1140.6,20963,7342.8,4225.8,4015,4140,5336.5,1773.2,1018.7,1038.7,1073.4,3145.4,1085.4,629.54,627.38,665.53,6700,2351.4,1365.1,1298.6,1242.1,1476.2,541.15,501.47,454.08,459.83,1644.9,551.79,363.83,339.85,331.45,2631.5,820.08,482.42,500.26,505.55,4963.3,1695.5,1003.1,936.12,931.07,6973.3,2378.1,1420,1324.7,1296.2,3436.8,1192.4,678.08,654.23,661.84,9356.3,3280.1,1849,1782.8,1796.3,8467.2,2916.8,1643.3,1612.9,1653.6,2025.2,683.05,402.23,398.83,391.19,4541.6,1538.1,1312,1222.3,1085.3,1173.5,424.5,662.76,537.18,578.59,5243.1,1727.3,969.28,975.1,961.44,6314.4,2284.2,1357,1272.3,1269.5,10119,3438.4,2020.2,1948.1,1943.6,6578,2256.1,1400.1,1272.7,1299.7,4519.6,1540.2,916.71,865.43,843.13,11967,4151.9,2354.5,2282.7,2265.5,14815,5090.3,2883,2815.3,2810.1,9352.8,3276.8,1878.9,1844.5,1761.8,13162,4526.8,2580.8,2529.3,2504,6165.7,2140.1,1240.9,1190.6,1167.2,1314,502.01,298.11,278.42,276.93,7062.8,2454.2,1407.6,1349.3,1346.8,7088.7,2468,1445.5,1352.5,1362.1,8541.1,2995.2,1700.5,1647.3,1678.2,-1
6522.7,2173,1399.3,1646.1,1230.2,7870.7,2794.5,1533.7,1291,1086.1,6311.5,2999.2,1635,1291.8,1022.6,30145,13544,6280.3,4220.7,3579.5,6948.4,3306.3,1630.9,1097.9,929.91,4140.9,1966.2,956.73,669.1,555.2,10335,4407.2,1991.7,1350.7,1150.9,3164.8,955.85,611.81,505.16,465.26,2913.8,1079.7,474.82,331.48,312.53,3104.8,1516.5,751.57,523.05,428.17,7720.5,3220.6,1452.8,981.82,844.84,11461,4577.6,2003,1380.9,1200,4788,2203,1025.6,719.07,590.03,13726,6113.2,2791,1934.3,1612.2,11587,5438.4,2559.3,1780.3,1463.9,2532.3,1237.1,603.64,419.23,341,8553.4,2940.6,1614.9,1418.9,1141.6,1326.1,698.05,721.07,737.41,555.21,6654.1,3247,1563.1,1056.1,851.48,9291.8,4106.7,1939.8,1279.8,1116.9,16222,6634.7,2951.8,1977.8,1753.8,10910,4344.3,1976.9,1366.1,1209.1,7358.5,2965.4,1336.5,917.52,787.21,17453,7752,3587.3,2385.2,2021,21122,9531.6,4445,2966.5,2503.4,13185,6052.8,2829,1883.6,1593.6,19045,8501.5,3937.7,2625.2,2235,9626.8,4020.3,1826.6,1227,1059.4,1805.1,857.99,424.88,287.47,245.16,10055,4550.5,2106,1417,1194.4,10509,4614.7,2137.1,1427,1215.2,12208,5519,2594,1789.4,1500.9,-1
6395.6,2461.9,1940.4,1810.9,1710.8,8861.2,3685.8,2442.3,2176.2,2068,11208,4934.8,3160.8,2902,2579.4,47951,20627,11997,10478,9511,12268,5502.5,3328.8,3181.6,3003.8,7365.8,3219.7,1969.9,1751.2,1646.7,14834,6311.3,3463.1,3087.9,2644.9,2740.8,1259.9,1381.2,1433.6,1518.2,3329.2,1520.1,941.85,1013.4,1002.3,5694.3,2564.2,1421.9,1279.5,1193.8,10986,4711.3,2598.4,2381.4,2087.4,15037,6347.6,3508.5,3203.5,2774.3,7791.4,3366.8,1821.8,1635,1434.8,21234,9140.6,4994,4497.4,3916.8,19371,8348.3,4543.8,4096.9,3545.1,4553.4,1979.2,1082.3,948.53,852.31,9112.3,3645.9,2251.3,2133.1,1906.4,2098.4,1089,1002.7,825.08,812.68,11713,5127.2,2721.7,2499.5,2180.4,14325,6138.6,3463.4,3009.7,2698,22405,9500.7,5321.4,4906.7,4363.3,14513,6105.8,3517,3167.8,2860.8,9705,4126.7,2269.1,2148,1822.7,27113,11654,6374.1,5816.1,5056.5,33991,14574,8000.5,7260.6,6328.4,21239,9211.9,5040.1,4431.4,4079.5,30263,12983,7136.3,6483.7,5665.2,13609,5834,3235.1,2983.5,2585.7,2866.5,1208.2,668.33,578.12,519.14,15939,6801.6,3740.6,3358.9,2914.4,15991,6805.7,3751.7,3386.1,2935.9,19421,8305.2,4557.3,4113.7,3555.5,1
4223.1,1744.4,1438.1,1378,1161.1,4984.5,2094.7,1322.9,1001.7,1066.6,4059.8,2192.5,1436.2,1126.4,982.19,18964,9944.1,5461.5,3993.6,3794.9,4455.6,2421.6,1377.3,1033.4,943.37,2697.1,1458.6,839.26,619.78,574.51,6540.1,3227.9,1710,1262.6,1207.4,2127.6,781.13,519.34,489.9,480.11,1822,799.65,413.69,320.41,328.58,2068.6,1146.2,655.77,491.23,453.5,4840.4,2362.8,1258.7,914.84,881.95,7281.1,3353.8,1731.1,1270.3,1226,3036.4,1618.4,914.83,664.37,635.78,8663.5,4470.5,2444.4,1784.2,1728,7401.3,3984.1,2226.2,1642.7,1566.5,1649.2,946.71,536.42,399.58,354.4,5499.2,2255,1424.4,1154.7,1101.6,953.16,652.23,806.33,528.38,593.96,4323,2404.5,1330.1,979.14,922.23,5859,2996.2,1711.6,1231.9,1137.1,10149,4848.7,2539.3,1856.6,1799.8,6830.5,3173.7,1678.3,1245.7,1213.3,4648.6,2183.9,1125.7,822.98,815.89,11016,5662.9,3055.1,2224.4,2143.1,13284,6947.9,3798.5,2765.9,2651.4,8335.6,4456.1,2415,1750.6,1690.2,11931,6212.1,3367.5,2459.8,2367,6023.3,2922.1,1555.1,1142.4,1106.4,1197.9,683.03,376.77,285.44,249.14,6376,3343.8,1810.4,1333.6,1260,6638.6,3395.3,1836.8,1343.4,1274.1,7732.7,4055.7,2243.1,1648.8,1584.7,-1
6066.7,1855.6,1405.9,1360.8,1158.9,6973.6,2463.2,1566.7,1173,1116.6,6287.4,3153.4,1658.3,1227.4,1093.5,27425,13616,6474.3,4694.9,3972.7,6998.7,3520.2,1756.9,1260.1,1073.3,4102.4,2089.1,1029.4,747.25,661.18,9086,4207.8,2021.7,1471.8,1207.8,3058.9,841.15,586.25,579.87,591.7,2567.5,974.35,498.4,397.64,390.4,3627.4,1741.6,821.82,603.81,512.78,6775.4,3119.8,1477.3,1091.8,916.61,10014,4224.8,2015.9,1498.8,1259.3,4479.6,2271.7,1077.2,771.4,650.43,12350,6074.4,2896.3,2098.5,1754.2,10952,5605.1,2678.1,1912.8,1603.4,2709.6,1370.8,651.97,471.58,388.68,7752.8,2566.7,1519.6,1410.2,1169.4,1687.8,819.34,769.66,593.28,616.71,6831.2,3469.3,1645.5,1186.9,968.67,8293.3,4008.5,1985.8,1362.5,1204.5,14180,6255.6,2989.3,2254.4,1893.7,9556.3,4033,1946.8,1527.8,1281,6414,2767,1321.5,1013.3,830.08,15672,7696.3,3686.3,2671.7,2215.6,19376,9646.6,4630.5,3334.9,2781.4,12183,6107.5,2990.7,2131.3,1810.6,17316,8546.6,4106.2,2987.2,2492.3,8401.7,3831.3,1840.4,1367.6,1142.3,1678,884.25,424.89,308.23,265.39,9104.8,4563.2,2177.1,1567.3,1317.3,9370.6,4560.8,2167.7,1574.1,1312.3,11144,5582.8,2648.4,1941.7,1620.8,-1
5179.7,2284.4,1376.1,1208,1302.6,7197.1,3232.1,1592.6,1505.8,1381,8357.5,3989.8,2015.6,1589.3,1450.8,36675,17121,8092.4,6302.7,5850.4,9192.9,4322.9,2098.3,1662.6,1536.6,5496.4,2589.2,1261.2,1013.5,915.84,11701,5421.9,2533.1,1936,1828,2198.1,1193.7,1189.9,978.06,1089.1,2710.3,1211.8,550.78,421.78,416.76,4274.1,2013.8,990.52,773.72,723.7,8658.3,3965.7,1850,1429.5,1355.6,12068,5466,2524.7,1957.5,1854.5,5964.5,2776.7,1317,1011.3,968.34,16401,7612.2,3598.7,2778.6,2618.6,14722,6882.3,3264.8,2526.3,2364.6,3451.2,1586.1,780.58,600.04,563.61,7532.9,3347.8,1772.3,1331.5,1371,1636.8,863.52,707.88,587.65,728.07,8875.3,4159.7,1985.9,1525.9,1443.6,11091,5174,2478.9,1913.2,1781,17741,8076.5,3741.5,2946.3,2814.7,11500,5186.6,2387.6,1877,1792,7766.7,3531.1,1649.4,1280.6,1208,20961,9759.8,4582.6,3555,3321.6,25946,12128,5702.8,4435.6,4142.3,16307,7561.8,3673.1,2821,2682.1,23124,10796,5092.3,3962.5,3697.5,10731,4955.4,2309.6,1804.3,1684.5,2219,1013.8,501.21,387.33,363.99,12230,5702,2717.2,2099.5,1942,12403,5733.3,2705,2099.5,1958.1,14930,6936.8,3269.8,2530.4,2365.5,1
